# holiday_sleigh_bells_shake_capture v1
# recorded_at=2026-08-22T09:44:04
# device_model=iPhone14,2
# os_name=iOS
# os_version=26.6.0
# engine_version=4.6-stable (official)
# screen_refresh_hz=120.00
# engine_max_fps=0
# delta_smoothing=false
# sample_count=1084
# duration_s=9.024
# achieved_rate_hz=120.13
# longest_frame_ms=11.4
sample,t_ms,dt_ms,accel_x,accel_y,accel_z,grav_x,grav_y,grav_z,gyro_x,gyro_y,gyro_z
0,0.000,8.333,0.71587,-9.20137,-1.62132,0.82722,-8.32006,-5.12472,-0.20092,0.08963,-0.12025
1,6.550,8.333,1.09924,-8.75515,-2.52753,0.83668,-8.30038,-5.15501,-0.49119,-0.20711,-0.18495
2,14.958,8.333,1.24543,-8.63274,-4.01702,0.83701,-8.26863,-5.20572,-0.65687,-0.35213,-0.17280
3,23.379,8.333,1.24543,-8.63274,-4.01702,0.83401,-8.25030,-5.23520,-0.69296,-0.37641,-0.14287
4,31.553,8.333,1.40360,-8.28229,-5.12883,0.82259,-8.21291,-5.29546,-0.67340,-0.35147,-0.05084
5,39.792,8.333,1.47348,-8.03853,-5.94450,0.80704,-8.18060,-5.34760,-0.52017,-0.24394,0.03148
6,48.201,8.333,1.29616,-8.20328,-6.52465,0.79963,-8.16825,-5.36756,-0.41541,-0.16265,0.06580
7,56.570,8.333,1.03444,-8.38240,-6.82108,0.78854,-8.15299,-5.39234,-0.17855,0.03142,0.11219
8,64.861,8.333,0.82031,-8.38255,-6.85909,0.78463,-8.15026,-5.39704,0.03090,0.19991,0.13959
9,73.269,8.333,0.82031,-8.38255,-6.85909,0.78501,-8.15267,-5.39334,0.10532,0.26443,0.14888
10,81.516,8.333,0.67157,-8.28558,-6.48904,0.78944,-8.16261,-5.37764,0.20753,0.35026,0.15015
11,89.829,8.333,0.52598,-8.24398,-6.02680,0.79819,-8.17600,-5.35596,0.24580,0.38446,0.12512
12,98.182,8.333,0.48513,-8.21226,-5.59615,0.80368,-8.18299,-5.34444,0.24054,0.37699,0.10629
13,106.591,8.333,0.51356,-8.15241,-5.17372,0.81541,-8.19587,-5.32289,0.20714,0.33357,0.07555
14,114.867,8.333,0.58194,-8.08657,-4.93191,0.82601,-8.20595,-5.30570,0.14851,0.26823,0.06233
15,123.270,8.333,0.58194,-8.08657,-4.93191,0.83013,-8.20973,-5.29921,0.11611,0.23390,0.06197
16,131.576,8.333,0.77587,-8.07041,-4.80008,0.83524,-8.21478,-5.29057,0.05355,0.17138,0.07695
17,139.812,8.333,0.90935,-8.08178,-4.78466,0.83619,-8.21684,-5.28723,-0.00168,0.14844,0.10455
