# holiday_sleigh_bells_shake_capture v1
# recorded_at=2026-08-22T09:44:27
# device_model=iPhone14,2
# os_name=iOS
# os_version=26.6.0
# engine_version=4.6-stable (official)
# screen_refresh_hz=120.00
# engine_max_fps=0
# delta_smoothing=false
# sample_count=1331
# duration_s=11.082
# achieved_rate_hz=120.10
# longest_frame_ms=11.7
sample,t_ms,dt_ms,accel_x,accel_y,accel_z,grav_x,grav_y,grav_z,gyro_x,gyro_y,gyro_z
0,0.000,8.333,2.58484,-7.68554,-4.01582,1.22388,-6.75830,-6.99985,-1.82860,-0.31886,-0.68457
1,5.788,8.333,2.43954,-6.54889,-5.06329,1.22843,-6.63521,-7.11585,-1.46268,-0.39302,-0.23748
2,14.034,8.333,2.02490,-5.66767,-7.71127,1.22003,-6.58663,-7.16228,-1.21815,-0.26278,0.03975
3,22.400,8.333,2.05003,-4.50873,-9.94716,1.19536,-6.52124,-7.22599,-0.71231,0.16708,0.59323
4,30.512,8.333,2.05004,-4.50873,-9.94716,1.18163,-6.50362,-7.24411,-0.49090,0.34574,0.81752
5,38.924,8.333,1.85820,-3.88788,-10.37033,1.15329,-6.49182,-7.25924,-0.16528,0.60963,1.10473
6,47.320,8.333,1.22927,-3.74468,-9.72914,1.12900,-6.50083,-7.25499,0.02826,0.79309,1.19971
7,55.725,8.333,0.50159,-4.03213,-9.40577,1.11987,-6.50948,-7.24865,0.09315,0.89604,1.17443
8,63.931,8.333,0.05626,-4.51277,-8.83430,1.10853,-6.52888,-7.23293,0.08834,0.93762,1.12883
9,72.049,8.333,-0.14739,-4.99460,-8.11754,1.11042,-6.54689,-7.21634,0.08898,1.03359,0.98851
10,80.478,8.333,-0.14739,-4.99460,-8.11754,1.11705,-6.55598,-7.20706,0.11802,1.07315,0.92704
11,88.850,8.333,-0.02589,-5.39054,-7.92047,1.13954,-6.57887,-7.18264,0.25230,1.15716,0.83049
12,97.178,8.333,0.12285,-5.83048,-8.12472,1.17405,-6.61382,-7.14489,0.47154,1.26606,0.76051
13,105.572,8.333,0.01077,-6.34224,-8.41801,1.19583,-6.63740,-7.11937,0.60061,1.33285,0.73012
14,113.884,8.333,-0.19034,-6.54859,-8.50525,1.25167,-6.69802,-7.05267,0.87301,1.55829,0.65408
15,122.379,8.333,-0.40746,-6.42394,-8.70217,1.32843,-6.77711,-6.96250,1.14653,1.80698,0.59805
16,130.392,8.333,-0.40746,-6.42394,-8.70218,1.37167,-6.82288,-6.90921,1.25413,1.84460,0.58989
17,138.812,8.333,-0.54169,-6.01034,-8.27795,1.44939,-6.92102,-6.79478,1.32022,1.55544,0.60481
