# holiday_sleigh_bells_shake_capture v1
# recorded_at=2026-08-22T09:29:19
# device_model=iPhone14,2
# os_name=iOS
# os_version=26.6.0
# engine_version=4.6-stable (official)
# target_frame_rate=60
# sample_count=1365
# duration_s=11.367
# achieved_rate_hz=120.09
# longest_frame_ms=12.2
sample,t_ms,dt_ms,accel_x,accel_y,accel_z,grav_x,grav_y,grav_z,gyro_x,gyro_y,gyro_z
0,0.000,8.333,0.05746,-9.66434,-2.28317,0.01565,-8.40836,-5.04674,-0.47049,-0.52270,-0.13921
1,6.143,8.333,0.39444,-9.10844,-4.10411,-0.00705,-8.38033,-5.09318,-0.61371,-0.70878,-0.07340
2,13.922,8.333,0.54693,-8.72477,-5.44531,-0.02301,-8.36437,-5.11929,-0.63290,-0.70569,-0.02860
3,22.309,8.333,0.36946,-8.49971,-6.81599,-0.05768,-8.33380,-5.16863,-0.53407,-0.58151,0.04972
4,30.702,8.333,0.36946,-8.49971,-6.81599,-0.07394,-8.32122,-5.18867,-0.43392,-0.47664,0.07116
5,39.000,8.333,0.10654,-8.50196,-7.76155,-0.09867,-8.30545,-5.21345,-0.15843,-0.23335,0.07133
6,47.157,8.333,-0.22131,-8.65190,-8.16542,-0.10863,-8.30527,-5.21354,0.15096,0.02167,0.03885
7,55.818,8.333,-0.39444,-8.77879,-7.95773,-0.10792,-8.31100,-5.20443,0.39577,0.22552,0.01853
8,63.840,8.333,-0.16400,-8.68766,-7.25698,-0.09793,-8.33128,-5.17209,0.48176,0.30121,0.01221
9,72.254,8.333,0.10819,-8.60147,-6.54530,-0.08047,-8.35898,-5.12751,0.57958,0.39994,0.00944
10,80.562,8.333,0.10819,-8.60147,-6.54530,-0.07055,-8.37407,-5.10297,0.59741,0.40929,0.01235
11,89.026,8.333,0.36542,-8.61239,-5.78215,-0.05264,-8.40436,-5.05316,0.58670,0.35313,0.03345
12,97.413,8.333,0.51445,-8.55777,-5.06613,-0.04158,-8.43210,-5.00683,0.50826,0.23785,0.06314
13,106.105,8.333,0.52448,-8.46365,-4.52684,-0.03955,-8.45451,-4.96892,0.38451,0.11508,0.09872
14,114.218,8.333,0.46058,-8.39587,-4.23085,-0.04196,-8.46322,-4.95404,0.31957,0.05663,0.11827
15,122.373,8.333,0.25783,-8.53398,-4.28487,-0.05216,-8.47613,-4.93183,0.21106,-0.04120,0.12701
16,130.531,8.333,0.25783,-8.53398,-4.28487,-0.05887,-8.48089,-4.92356,0.17701,-0.08046,0.11830
17,139.008,8.333,-0.02274,-8.60880,-4.46938,-0.07315,-8.48824,-4.91068,0.13137,-0.12232,0.09474
18,147.114,8.333,-0.24406,-8.57304,-4.62754,-0.08464,-8.49428,-4.90004,0.11814,-0.07211,0.05259
19,155.584,8.333,-0.29628,-8.44510,-5.01765,-0.08736,-8.49727,-4.89481,0.12820,-0.01296,0.02914
20,163.888,8.333,-0.25947,-8.36175,-5.33638,-0.08566,-8.50460,-4.88210,0.17864,0.12050,-0.00682
21,172.301,8.333,-0.22730,-8.31042,-5.36406,-0.07469,-8.51506,-4.86401,0.24751,0.24837,-0.03516
22,181.497,8.333,-0.10797,-8.24518,-5.25178,-0.06638,-8.52152,-4.85281,0.31081,0.34949,-0.04606
23,189.868,8.333,-0.09816,-8.25236,-5.23926,-0.04564,-8.53655,-4.82655,0.33580,0.38000,-0.05159
24,197.969,8.333,0.09771,-8.19760,-5.05940,-0.02209,-8.55389,-4.79591,0.38271,0.38682,-0.06168
25,206.664,8.333,0.12166,-8.20149,-4.81354,0.00278,-8.57297,-4.76179,0.40791,0.38162,-0.08806
26,214.598,8.333,0.05477,-8.31671,-4.63188,0.01604,-8.58267,-4.74425,0.40832,0.38123,-0.10334
27,223.277,8.333,0.16131,-8.43866,-4.41551,0.04435,-8.60160,-4.70967,0.38790,0.37457,-0.13533
28,231.365,8.333,0.16131,-8.43866,-4.41551,0.05893,-8.61040,-4.69339,0.36211,0.36322,-0.13758
29,239.823,8.333,0.50563,-8.38090,-4.13523,0.08610,-8.62608,-4.66408,0.30768,0.32281,-0.11170
30,248.088,8.333,0.78919,-8.25251,-3.87337,0.10787,-8.63871,-4.64020,0.23580,0.29703,-0.05682
31,256.552,8.333,0.90540,-8.20366,-3.77677,0.11641,-8.64375,-4.63059,0.16665,0.28998,0.01169
32,264.762,8.333,0.87418,-8.26882,-3.79197,0.12893,-8.65144,-4.61588,0.12778,0.29630,0.04515
33,273.079,8.333,0.77033,-8.17814,-3.99248,0.13619,-8.65621,-4.60671,0.07104,0.33456,0.11651
34,281.500,8.333,0.77033,-8.17814,-3.99248,0.13868,-8.65764,-4.60396,0.04494,0.36120,0.13916
35,289.912,8.333,0.57685,-8.15420,-4.24881,0.14412,-8.65897,-4.60129,0.00405,0.42122,0.14750
36,298.256,8.333,0.38876,-8.21436,-4.46504,0.15196,-8.65899,-4.60100,-0.01182,0.45169,0.13713
37,306.379,8.333,0.26052,-8.15330,-4.65672,0.15672,-8.65890,-4.60101,-0.00462,0.46304,0.13040
38,315.104,8.333,0.26815,-8.06786,-4.85454,0.16706,-8.65945,-4.59961,0.02090,0.47136,0.13108
39,323.283,8.333,0.23134,-8.08926,-4.97635,0.17637,-8.66157,-4.59526,0.06054,0.45293,0.14552
40,331.375,8.333,0.23134,-8.08926,-4.97635,0.18029,-8.66339,-4.59169,0.08564,0.44674,0.15092
41,339.903,8.333,0.30092,-8.20029,-5.02992,0.18719,-8.66830,-4.58213,0.11258,0.39746,0.14235
42,348.102,8.333,0.40238,-8.29845,-4.65582,0.19122,-8.67365,-4.57184,0.10525,0.31147,0.14131
43,356.783,8.333,0.39789,-8.25431,-4.35730,0.19190,-8.67608,-4.56719,0.07988,0.26376,0.15240
44,364.734,8.333,0.46163,-8.30579,-4.40024,0.19041,-8.67996,-4.55987,0.05839,0.23228,0.17112
45,373.376,8.333,0.43754,-8.40215,-4.05293,0.18297,-8.68181,-4.55665,0.00273,0.17062,0.21514
46,381.388,8.333,0.43754,-8.40215,-4.05293,0.17692,-8.68175,-4.55701,-0.02612,0.17206,0.24252
47,389.911,8.333,0.44787,-8.45617,-4.10142,0.16139,-8.67945,-4.56196,-0.09829,0.19707,0.31335
48,398.271,8.333,0.50667,-8.56092,-3.91991,0.13840,-8.67315,-4.57468,-0.20378,0.13089,0.39455
49,406.553,8.333,0.37290,-8.61374,-3.28679,0.12299,-8.66796,-4.58495,-0.27229,0.09961,0.43666
50,414.592,8.333,0.32561,-8.56167,-3.56497,0.08617,-8.65270,-4.61453,-0.40554,0.08305,0.49735
51,423.083,8.333,0.17433,-8.52964,-3.96704,0.04640,-8.63157,-4.65450,-0.50855,0.09839,0.51427
52,431.214,8.333,0.17433,-8.52964,-3.96704,0.02662,-8.61946,-4.67703,-0.53442,0.12320,0.52045
53,439.782,8.333,-0.10265,-8.29217,-4.40877,-0.01116,-8.59442,-4.72294,-0.51882,0.21968,0.54144
54,447.890,8.333,-0.31484,-7.98152,-4.92472,-0.04385,-8.57160,-4.76406,-0.42894,0.35997,0.52763
55,456.419,8.333,-0.70554,-8.20328,-5.47494,-0.05674,-8.56193,-4.78127,-0.36799,0.42542,0.51077
