# holiday_sleigh_bells_shake_capture v1
# recorded_at=2026-08-22T09:29:05
# device_model=iPhone14,2
# os_name=iOS
# os_version=26.6.0
# engine_version=4.6-stable (official)
# target_frame_rate=60
# sample_count=1361
# duration_s=11.373
# achieved_rate_hz=119.67
# longest_frame_ms=22.6
sample,t_ms,dt_ms,accel_x,accel_y,accel_z,grav_x,grav_y,grav_z,gyro_x,gyro_y,gyro_z
48,427.792,8.333,0.59032,-8.07415,-4.91619,-0.21477,-7.98614,-5.68733,-0.70974,0.45936,0.57594
49,436.413,8.333,0.16236,-8.47009,-5.43738,-0.23119,-7.94432,-5.74497,-0.70106,0.48051,0.51555
50,444.987,8.375,-0.08707,-8.59633,-5.35935,-0.23730,-7.92377,-5.77304,-0.65814,0.48569,0.45957
51,453.223,8.333,0.02559,-8.44629,-5.55739,-0.24550,-7.88456,-5.82614,-0.62236,0.50663,0.44325
52,461.606,8.333,-0.08006,-8.26493,-6.01064,-0.24744,-7.84975,-5.87287,-0.52078,0.61543,0.43984
53,469.891,8.333,-0.08006,-8.26493,-6.01064,-0.24578,-7.83476,-5.89292,-0.45802,0.68625,0.45238
54,478.266,8.333,-0.15577,-8.01264,-6.25351,-0.24086,-7.81061,-5.92509,-0.31914,0.72057,0.49513
55,486.357,8.333,-0.25633,-7.93304,-6.13230,-0.23776,-7.79392,-5.94715,-0.20002,0.69757,0.50181
56,494.771,8.333,-0.62534,-8.10033,-6.40838,-0.23646,-7.78823,-5.95466,-0.14199,0.68482,0.48814
57,503.157,8.333,-0.83767,-8.15136,-6.38369,-0.23405,-7.78134,-5.96375,-0.06168,0.60271,0.43427
58,511.446,8.333,-0.73427,-8.27331,-6.10581,-0.23081,-7.77679,-5.96982,-0.07426,0.48808,0.30666
59,519.879,8.333,-0.73427,-8.27331,-6.10581,-0.22734,-7.77364,-5.97404,-0.11546,0.43115,0.22113
60,528.180,8.333,-0.82151,-8.42550,-5.87881,-0.21402,-7.76247,-5.98904,-0.25441,0.31638,0.01245
61,536.386,8.333,-0.93224,-8.22214,-5.63191,-0.19386,-7.74295,-6.01495,-0.39121,0.16263,-0.13937
62,544.871,8.333,-0.78934,-7.87243,-5.50442,-0.18335,-7.73055,-6.03120,-0.44000,0.11288,-0.18773
63,553.110,8.333,-0.56144,-7.62852,-6.17031,-0.15942,-7.70223,-6.06800,-0.49854,0.16306,-0.21830
64,561.524,8.333,-0.35240,-7.57002,-6.63433,-0.13012,-7.67114,-6.10795,-0.52263,0.23943,-0.21992
65,569.759,8.333,-0.35240,-7.57002,-6.63433,-0.11379,-7.65529,-6.12813,-0.51948,0.25853,-0.23211
66,578.142,8.333,-0.35210,-7.82949,-6.50684,-0.07799,-7.62465,-6.16677,-0.47385,0.30725,-0.24311
67,586.614,8.346,-0.28910,-7.76021,-6.67429,-0.04090,-7.59817,-6.19972,-0.37475,0.35174,-0.17462
68,595.149,8.409,-0.05806,-7.54637,-6.83156,-0.02441,-7.58758,-6.21276,-0.30703,0.34700,-0.11973
69,603.191,8.333,0.06554,-7.57241,-6.68551,-0.00055,-7.57345,-6.23003,-0.14317,0.27093,0.00046
70,611.573,8.333,0.06300,-7.57989,-6.59842,0.01032,-7.56999,-6.23423,0.02937,0.18720,0.08073
71,619.817,8.333,0.06300,-7.57989,-6.59842,0.01215,-7.57208,-6.23168,0.10451,0.14804,0.09897
72,628.214,8.333,-0.03457,-7.85523,-6.25904,0.01013,-7.58268,-6.21878,0.22910,0.02673,0.09596
73,636.442,8.333,-0.08679,-8.19700,-5.58702,0.00173,-7.59916,-6.19864,0.29091,-0.09737,0.06037
74,644.903,8.333,-0.21413,-8.27481,-5.39069,-0.00402,-7.60832,-6.18739,0.29977,-0.14931,0.04177
75,653.119,8.333,-0.43949,-8.25356,-5.14424,-0.01800,-7.62617,-6.16536,0.27021,-0.25257,-0.00097
76,661.564,8.333,-0.45744,-8.24937,-5.10294,-0.03365,-7.64105,-6.14683,0.20870,-0.28987,-0.03697
77,669.812,8.333,-0.45744,-8.24937,-5.10294,-0.04070,-7.64692,-6.13949,0.17167,-0.27719,-0.05105
78,678.171,8.333,-0.33220,-8.24832,-5.43948,-0.05135,-7.65511,-6.12919,0.09607,-0.26483,-0.10147
79,686.508,8.333,-0.27713,-8.23351,-5.42376,-0.05709,-7.65913,-6.12412,0.03432,-0.24213,-0.15834
80,694.933,8.333,-0.14829,-7.87692,-5.89288,-0.05709,-7.65968,-6.12343,-0.00115,-0.14937,-0.15354
81,703.218,8.333,-0.22027,-6.92777,-6.89710,-0.05652,-7.65784,-6.12574,-0.04579,-0.10782,0.00579
82,711.566,8.333,-0.81418,-6.39416,-6.98733,-0.08078,-7.66030,-6.12239,0.16701,-0.25604,0.31935
83,719.843,8.333,-0.81418,-6.39416,-6.98733,-0.10323,-7.66797,-6.11244,0.34455,-0.28673,0.41575
84,728.229,8.333,-0.84590,-7.00888,-8.15779,-0.15950,-7.69938,-6.07162,0.70080,-0.39837,0.49835
85,736.590,8.333,-0.84216,-7.34616,-8.36399,-0.22683,-7.74838,-6.00679,0.92848,-0.51201,0.51162
86,744.906,8.333,-0.93164,-7.76514,-7.70005,-0.26189,-7.77631,-5.96915,0.97444,-0.51091,0.50256
87,753.128,8.333,-0.86625,-8.24773,-6.80657,-0.32917,-7.83402,-5.88984,1.00874,-0.42469,0.50755
88,761.592,8.333,-0.99045,-8.19505,-5.89288,-0.39329,-7.89164,-5.80842,1.01469,-0.36437,0.54224
89,769.687,8.333,-0.99045,-8.19505,-5.89288,-0.42516,-7.91977,-5.76774,1.00087,-0.33991,0.54985
90,778.181,8.333,-1.22044,-8.18159,-5.32201,-0.48796,-7.97290,-5.68904,0.93449,-0.31041,0.55378
91,786.582,8.333,-1.20249,-8.23695,-5.14304,-0.54875,-8.02151,-5.61468,0.88645,-0.30711,0.52651
92,794.882,8.333,-1.20713,-8.01115,-5.35912,-0.57813,-8.04471,-5.57842,0.87216,-0.30767,0.50508
93,803.044,8.333,-1.15505,-8.00621,-5.62892,-0.63427,-8.08930,-5.50739,0.84062,-0.31833,0.45556
94,811.433,8.333,-1.16373,-8.24458,-5.24360,-0.68815,-8.13203,-5.43755,0.81688,-0.39124,0.39297
95,819.699,8.333,-1.16373,-8.24458,-5.24360,-0.71465,-8.15268,-5.40310,0.80035,-0.42715,0.36051
96,828.038,8.333,-1.26429,-8.42026,-4.83105,-0.76678,-8.19209,-5.33593,0.74878,-0.50823,0.30156
97,836.491,8.333,-1.21730,-8.56481,-4.51786,-0.81888,-8.22762,-5.27315,0.67305,-0.58840,0.24617
98,844.817,8.333,-1.05240,-8.73899,-4.41326,-0.84411,-8.24396,-5.24357,0.64050,-0.59905,0.21826
99,853.179,8.333,-1.02232,-8.72941,-4.42104,-0.89247,-8.27416,-5.18769,0.58069,-0.64964,0.17085
100,861.392,8.333,-1.07170,-8.63858,-4.34922,-0.94187,-8.30162,-5.13482,0.54124,-0.75338,0.15076
101,869.843,8.333,-1.07170,-8.63858,-4.34922,-0.96863,-8.31466,-5.10868,0.53169,-0.83116,0.15750
102,878.135,8.333,-1.24798,-8.52964,-4.32363,-1.02894,-8.33916,-5.05669,0.49289,-0.97629,0.18810
103,886.811,8.454,-1.20832,-8.37237,-4.46369,-1.09934,-8.36083,-5.00584,0.45745,-1.06861,0.25657
104,894.924,8.333,-0.92940,-8.45976,-4.65253,-1.13764,-8.37042,-4.98119,0.43066,-1.08264,0.28641
105,903.238,8.333,-0.83243,-8.64756,-4.55632,-1.21829,-8.38608,-4.93556,0.34629,-1.13732,0.33047
106,911.589,8.333,-1.03070,-8.61524,-4.77628,-1.30187,-8.39733,-4.89493,0.28977,-1.05012,0.35615
107,919.855,8.333,-1.03070,-8.61524,-4.77628,-1.34212,-8.40154,-4.87680,0.24592,-1.01625,0.35325
108,928.049,8.333,-1.20114,-8.37522,-4.72196,-1.41899,-8.40622,-4.84689,0.13938,-0.94402,0.32796
109,936.253,8.333,-1.48007,-8.10093,-4.74725,-1.48759,-8.40626,-4.82621,0.04881,-0.81702,0.28414
110,944.505,8.333,-1.75300,-7.98242,-4.98862,-1.51820,-8.40487,-4.81909,0.00737,-0.76153,0.26363
111,952.892,8.333,-1.92838,-7.97090,-5.04578,-1.57233,-8.40024,-4.80979,-0.04389,-0.67063,0.19710
112,961.322,8.333,-1.92838,-7.97090,-5.04578,-1.59577,-8.39752,-4.80683,-0.07302,-0.64214,0.12535
113,969.498,8.333,-1.99751,-7.97344,-5.05970,-1.63777,-8.39197,-4.80239,-0.07680,-0.65799,0.10199
114,977.859,8.333,-1.90309,-8.12173,-4.73738,-1.67594,-8.38777,-4.79655,-0.04845,-0.69597,0.02637
115,986.168,8.333,-1.83336,-8.36594,-4.78227,-1.69274,-8.38675,-4.79244,-0.01825,-0.69011,-0.08908
116,994.523,8.333,-1.80687,-8.66447,-5.02812,-1.71856,-8.38718,-4.78248,-0.01446,-0.67675,-0.14248
117,1003.243,8.333,-1.70063,-8.86094,-5.14514,-1.73489,-8.39049,-4.77078,0.03302,-0.61517,-0.19836
118,1011.387,8.333,-1.70063,-8.86094,-5.14514,-1.74079,-8.39340,-4.76350,0.06994,-0.55859,-0.18821
119,1019.676,8.333,-1.45986,-8.94728,-5.47389,-1.74982,-8.40162,-4.74567,0.16241,-0.35833,-0.11466
120,1028.164,8.333,-0.94721,-9.12939,-5.57789,-1.75533,-8.41189,-4.72538,0.19857,-0.17842,-0.06016
121,1036.419,8.333,-0.89400,-9.00564,-4.98320,-1.75646,-8.41702,-4.71583,0.18150,-0.08280,-0.06358
122,1044.611,8.333,-1.23271,-8.47518,-4.54824,-1.75500,-8.42671,-4.69904,0.17315,-0.03542,-0.06767
123,1052.892,8.333,-1.52436,-8.22363,-4.55347,-1.74920,-8.43628,-4.68400,0.18924,0.03708,-0.06327
124,1061.544,8.333,-1.52436,-8.22363,-4.55347,-1.74597,-8.44136,-4.67605,0.20446,0.04806,-0.04228
125,1069.658,8.333,-1.82303,-8.43298,-4.33036,-1.74165,-8.45195,-4.65849,0.22698,0.02086,-0.01196
126,1078.268,8.333,-2.21075,-8.67838,-4.11384,-1.74200,-8.46157,-4.64087,0.17994,0.00361,0.02597
127,1086.617,8.333,-2.39600,-8.62802,-3.93040,-1.74342,-8.46496,-4.63414,0.09920,-0.01169,0.05563
128,1094.949,8.333,-2.53950,-8.71235,-3.93158,-1.74829,-8.46875,-4.62538,0.06758,-0.01695,0.05306
129,1103.275,8.333,-3.10393,-8.90254,-4.49377,-1.75089,-8.47086,-4.62054,0.05423,-0.00756,-0.01128
