# holiday_sleigh_bells_shake_capture v1
# recorded_at=2026-08-22T09:44:16
# device_model=iPhone14,2
# os_name=iOS
# os_version=26.6.0
# engine_version=4.6-stable (official)
# screen_refresh_hz=120.00
# engine_max_fps=0
# delta_smoothing=false
# sample_count=1123
# duration_s=9.359
# achieved_rate_hz=119.99
# longest_frame_ms=24.0
sample,t_ms,dt_ms,accel_x,accel_y,accel_z,grav_x,grav_y,grav_z,gyro_x,gyro_y,gyro_z
0,0.000,8.333,3.11875,-5.38037,-5.86549,3.23508,-7.08222,-5.96211,-0.29176,0.30183,-0.39605
1,6.176,8.333,2.85628,-4.75114,-6.54590,3.27452,-7.07499,-5.94915,0.34168,0.33584,-0.17562
2,14.442,8.333,2.85628,-4.75114,-6.54590,3.28891,-7.08655,-5.92742,0.70437,0.36672,0.06540
3,22.720,8.333,2.67537,-4.34907,-6.84487,3.30604,-7.12903,-5.86663,0.76256,0.37387,0.17574
4,31.105,8.333,3.17501,-4.70416,-6.72427,3.30850,-7.18125,-5.80120,0.69232,0.39065,0.37616
5,39.429,8.333,3.66956,-5.34221,-6.52091,3.29963,-7.23255,-5.74222,0.56199,0.44195,0.52480
6,47.756,8.333,3.80977,-5.98116,-6.33311,3.29181,-7.25746,-5.71521,0.53351,0.42069,0.58776
7,56.060,8.333,3.83431,-7.16181,-5.71212,3.26747,-7.30713,-5.66568,0.50375,0.30157,0.62740
8,64.451,8.333,3.83431,-7.16181,-5.71212,3.25231,-7.33145,-5.64293,0.49009,0.24969,0.62471
9,72.710,8.333,3.74393,-8.10692,-5.33847,3.21880,-7.37756,-5.60191,0.43470,0.17844,0.60661
10,81.088,8.333,3.62737,-8.21615,-5.32889,3.18488,-7.41818,-5.56754,0.34872,0.17120,0.55828
11,89.425,8.333,3.31072,-8.03972,-5.46766,3.16968,-7.43604,-5.55237,0.27298,0.21259,0.48482
12,97.777,8.333,2.86960,-8.05155,-5.53869,3.14532,-7.46671,-5.52500,0.24865,0.23350,0.43693
13,106.057,8.333,2.61881,-8.14612,-5.50083,3.13005,-7.49259,-5.49857,0.25341,0.26252,0.34328
14,114.540,8.333,2.61881,-8.14612,-5.50083,3.12522,-7.50485,-5.48458,0.26643,0.27521,0.30792
15,122.704,8.333,2.63347,-8.20179,-5.71421,3.12072,-7.52922,-5.45365,0.30684,0.31249,0.24284
16,131.119,8.333,2.89594,-8.12562,-5.80414,3.12151,-7.55442,-5.41823,0.37113,0.32776,0.20235
17,139.425,8.333,3.17995,-7.75377,-5.93223,3.12319,-7.56805,-5.39821,0.40249,0.35837,0.19947
