# holiday_sleigh_bells_shake_capture v1
# recorded_at=2026-08-22T09:43:31
# device_model=iPhone14,2
# os_name=iOS
# os_version=26.6.0
# engine_version=4.6-stable (official)
# screen_refresh_hz=120.00
# engine_max_fps=0
# delta_smoothing=false
# sample_count=1224
# duration_s=10.191
# achieved_rate_hz=120.10
# longest_frame_ms=12.6
sample,t_ms,dt_ms,accel_x,accel_y,accel_z,grav_x,grav_y,grav_z,gyro_x,gyro_y,gyro_z
0,0.000,8.333,1.07859,-8.40320,-2.56434,0.65733,-8.18105,-5.36738,-0.37751,-0.00834,0.19471
1,6.574,8.333,0.78739,-8.34664,-3.63784,0.64864,-8.17063,-5.38428,-0.44009,-0.06916,0.17866
2,14.590,8.333,0.58359,-8.45842,-5.07331,0.63117,-8.14509,-5.42490,-0.53151,-0.03094,0.17454
3,22.823,8.333,0.58359,-8.45842,-5.07331,0.62369,-8.13095,-5.44693,-0.54763,0.02401,0.18783
4,31.086,8.333,0.56877,-8.19041,-5.99508,0.61077,-8.10299,-5.48988,-0.50754,0.12076,0.23547
5,39.561,8.333,0.69103,-7.90580,-6.31860,0.59721,-8.07954,-5.52582,-0.39560,0.20538,0.32042
6,47.922,8.333,0.78724,-7.81318,-6.42334,0.58982,-8.07043,-5.53991,-0.33479,0.27220,0.37179
7,56.263,8.333,0.71213,-7.76529,-6.71214,0.57543,-8.05822,-5.55918,-0.19305,0.44922,0.47428
8,64.686,8.333,0.64419,-7.84101,-6.98224,0.56385,-8.05431,-5.56602,-0.05745,0.65934,0.57689
9,72.871,8.333,0.64419,-7.84101,-6.98224,0.55931,-8.05512,-5.56530,-0.00543,0.74976,0.62163
10,81.218,8.333,0.63895,-7.87169,-6.93481,0.55106,-8.06080,-5.55790,0.07272,0.84657,0.69016
11,89.409,8.333,0.67097,-7.89683,-6.51163,0.54078,-8.07035,-5.54503,0.12668,0.86429,0.74389
12,97.647,8.333,0.72529,-7.82231,-6.14023,0.53437,-8.07613,-5.53723,0.14421,0.86365,0.75919
13,106.100,8.333,0.66289,-7.73163,-5.99254,0.52011,-8.08851,-5.52050,0.15730,0.83700,0.75857
14,114.460,8.333,0.53690,-7.73118,-5.86370,0.50493,-8.10111,-5.50340,0.16160,0.78683,0.71646
15,122.839,8.333,0.53690,-7.73118,-5.86370,0.49794,-8.10726,-5.49498,0.15776,0.75004,0.67035
16,131.061,8.333,0.34925,-7.91388,-5.78469,0.48639,-8.11883,-5.47891,0.15522,0.61877,0.54075
17,139.469,8.333,0.11971,-8.30818,-5.59959,0.47694,-8.12962,-5.46372,0.15863,0.43772,0.40333
18,147.783,8.333,0.01616,-8.42849,-5.30585,0.47272,-8.13478,-5.45639,0.15505,0.35397,0.33519
19,156.069,8.333,-0.07138,-8.37207,-5.26754,0.46638,-8.14433,-5.44268,0.15110,0.22902,0.20989
20,164.536,8.333,-0.11762,-8.30908,-5.35343,0.46474,-8.15378,-5.42865,0.17699,0.20591,0.10690
21,172.782,8.333,-0.11762,-8.30908,-5.35343,0.46830,-8.15941,-5.41988,0.22395,0.28544,0.04568
22,181.100,8.333,-0.19707,-8.15839,-5.87866,0.48994,-8.17445,-5.39525,0.33502,0.49657,-0.04431
23,189.333,8.333,-0.30870,-8.14567,-6.42364,0.52580,-8.19541,-5.35996,0.45299,0.66357,-0.04962
24,197.831,8.333,0.09756,-8.29232,-6.32174,0.54605,-8.20815,-5.33840,0.50521,0.72865,-0.02734
25,206.428,8.333,0.64135,-8.28977,-6.18796,0.58641,-8.23728,-5.28903,0.57903,0.80912,0.04902
26,214.480,8.333,1.05539,-8.17829,-6.05808,0.62119,-8.26984,-5.23395,0.62817,0.81812,0.15970
27,223.372,8.333,1.05539,-8.17829,-6.05808,0.63456,-8.28710,-5.20496,0.64421,0.81820,0.22742
28,231.512,8.333,1.50326,-7.95339,-5.94974,0.65407,-8.32292,-5.14506,0.66329,0.83850,0.33941
29,239.881,8.333,1.73909,-7.90146,-6.13140,0.66404,-8.35957,-5.08399,0.66466,0.80549,0.43051
30,248.309,8.333,1.67684,-8.04257,-5.92415,0.66512,-8.37790,-5.05359,0.65983,0.76648,0.47013
31,257.075,8.333,1.48590,-8.19700,-5.61425,0.65996,-8.41410,-4.99378,0.64702,0.66573,0.50926
32,265.026,8.333,1.23646,-8.32075,-5.35089,0.64564,-8.44962,-4.93532,0.64060,0.51986,0.52405
33,273.317,8.333,1.23646,-8.32075,-5.35089,0.63554,-8.46706,-4.90666,0.63699,0.46062,0.52298
34,281.589,8.333,0.98596,-8.39796,-5.14708,0.61267,-8.50098,-4.85060,0.61966,0.40713,0.50913
35,289.945,8.333,0.67606,-8.45617,-5.14439,0.59002,-8.53318,-4.79658,0.58952,0.41824,0.48250
36,298.182,8.333,0.33833,-8.43612,-5.13452,0.58008,-8.54847,-4.77049,0.57016,0.44485,0.46513
37,306.608,8.333,-0.01960,-8.39063,-5.21622,0.56520,-8.57723,-4.72038,0.53220,0.54828,0.42503
38,315.231,8.333,-0.33339,-8.31312,-5.30271,0.55902,-8.60422,-4.67175,0.51941,0.67332,0.39254
39,323.331,8.333,-0.33339,-8.31312,-5.30271,0.55860,-8.61750,-4.64726,0.52430,0.72524,0.38400
40,331.707,8.333,-0.35943,-8.20628,-5.09621,0.56131,-8.64479,-4.59597,0.56254,0.81137,0.37701
41,339.899,8.333,-0.12824,-8.28080,-4.89569,0.56667,-8.67348,-4.54092,0.60018,0.79739,0.35479
42,348.199,8.333,0.19872,-8.63005,-4.68979,0.56916,-8.68821,-4.51237,0.61041,0.75588,0.34115
43,356.488,8.333,0.39819,-8.87306,-4.58834,0.57290,-8.71834,-4.45341,0.64017,0.71085,0.32614
44,364.945,8.333,0.53480,-8.88503,-4.86158,0.57420,-8.74932,-4.39205,0.67027,0.67145,0.34644
45,373.183,8.333,0.53480,-8.88503,-4.86158,0.57276,-8.76527,-4.36032,0.69063,0.62466,0.36709
46,381.585,8.333,0.62878,-8.63020,-4.92637,0.56085,-8.79956,-4.29226,0.79566,0.48872,0.45223
47,390.136,8.333,0.76734,-8.16079,-4.89614,0.53633,-8.83966,-4.21226,0.96426,0.38643,0.51372
48,398.327,8.333,0.73517,-7.97239,-5.30361,0.52138,-8.86214,-4.16665,1.04569,0.38968,0.52744
49,406.551,8.333,0.41480,-8.15525,-5.73576,0.49221,-8.91087,-4.06505,1.17904,0.45479,0.51302
50,415.081,8.333,0.27488,-8.37582,-5.54467,0.46584,-8.96236,-3.95342,1.24817,0.48164,0.50157
51,423.362,8.333,0.27488,-8.37582,-5.54467,0.45278,-8.98819,-3.89588,1.25988,0.49430,0.50570
52,431.684,8.333,0.31304,-8.44704,-4.88582,0.42500,-9.03874,-3.78033,1.24724,0.47668,0.52910
53,439.811,8.333,0.32965,-8.39198,-4.39560,0.39251,-9.08680,-3.66694,1.20736,0.40580,0.55003
54,448.109,8.333,0.31170,-8.39587,-4.10725,0.37434,-9.10977,-3.61143,1.19539,0.34701,0.54782
55,456.539,8.333,0.18974,-8.47009,-3.96944,0.33521,-9.15405,-3.50163,1.18231,0.21261,0.52097
56,464.884,8.333,-0.01616,-8.50046,-3.97812,0.29585,-9.19659,-3.39198,1.19899,0.12381,0.45567
57,473.117,8.333,-0.01616,-8.50046,-3.97812,0.27788,-9.21757,-3.33611,1.21437,0.11013,0.40830
58,481.580,8.333,-0.37409,-8.52141,-4.06431,0.24979,-9.25883,-3.22213,1.23586,0.17313,0.28523
59,489.819,8.333,-0.73682,-8.64232,-4.16202,0.24001,-9.29902,-3.10500,1.26804,0.41643,0.11415
60,498.128,8.333,-0.60379,-9.37779,-4.18282,0.24398,-9.31862,-3.04534,1.26127,0.67170,0.07546
61,506.648,8.333,0.06853,-10.11790,-3.66373,0.26139,-9.35574,-2.92783,1.19867,0.87776,0.08353
62,514.993,8.333,0.43081,-10.03769,-2.27988,0.27822,-9.38904,-2.81760,1.09785,0.88817,0.09136
63,523.276,8.333,0.43081,-10.03769,-2.27988,0.28594,-9.40428,-2.76552,1.06048,0.86351,0.10140
64,531.566,8.333,0.52657,-9.99280,-1.99302,0.29817,-9.43284,-2.66513,1.01357,0.85216,0.13183
65,539.983,8.333,0.46522,-9.98008,-1.69749,0.30625,-9.45877,-2.57066,0.91890,0.82192,0.16086
66,548.291,8.333,0.59122,-10.16683,-1.55593,0.30861,-9.47027,-2.52766,0.84222,0.77261,0.16910
67,556.769,8.333,0.62504,-10.20558,-0.88376,0.30841,-9.48966,-2.45390,0.66480,0.53071,0.18944
68,564.927,8.333,0.62264,-10.09425,-0.58074,0.30049,-9.50451,-2.39676,0.51356,0.40273,0.21071
69,573.210,8.333,0.62264,-10.09425,-0.58074,0.29411,-9.51064,-2.37312,0.45540,0.33441,0.24211
70,581.524,8.333,0.40612,-10.10488,-1.03280,0.27515,-9.52151,-2.33140,0.41009,0.26353,0.28162
71,589.807,8.333,0.37275,-9.97903,-1.34210,0.25520,-9.53163,-2.29200,0.39770,0.32746,0.28032
72,598.329,8.333,-0.32801,-9.91648,-1.93706,0.24611,-9.53638,-2.27317,0.37315,0.33697,0.25900
73,606.717,8.333,-0.17373,-9.88506,-1.92329,0.23231,-9.54477,-2.23917,0.31906,0.36975,0.19061
74,614.921,8.333,-0.17373,-9.88506,-1.92329,0.22830,-9.54840,-2.22402,0.28724,0.44420,0.13482
75,623.337,8.333,-0.05043,-9.79154,-2.26776,0.22475,-9.55513,-2.19532,0.28756,0.49741,0.13494
76,631.587,8.333,-0.03232,-9.86591,-2.43550,0.22433,-9.56206,-2.16495,0.32497,0.62664,0.12407
77,640.028,8.333,-0.41195,-9.91768,-2.63632,0.22744,-9.56962,-2.13098,0.34354,0.66221,0.10153
78,648.162,8.333,-1.09146,-9.70370,-2.68330,0.22995,-9.57333,-2.11399,0.33942,0.42335,0.03470
79,656.463,8.333,-1.44744,-9.43959,-1.76004,0.24562,-9.58188,-2.07306,0.52054,0.19264,-0.30868
