# holiday_sleigh_bells_shake_capture v1
# recorded_at=2026-08-22T09:44:40
# device_model=iPhone14,2
# os_name=iOS
# os_version=26.6.0
# engine_version=4.6-stable (official)
# screen_refresh_hz=120.00
# engine_max_fps=0
# delta_smoothing=false
# sample_count=319
# duration_s=2.648
# achieved_rate_hz=120.46
# longest_frame_ms=12.0
sample,t_ms,dt_ms,accel_x,accel_y,accel_z,grav_x,grav_y,grav_z,gyro_x,gyro_y,gyro_z
0,0.000,8.333,1.07036,-4.57382,-1.21835,1.12562,-6.89572,-6.88131,-1.92049,0.71218,-0.71079
1,6.723,8.333,1.52930,-1.69031,-2.75498,1.21185,-6.77121,-6.98946,-1.46192,0.72607,-0.47857
2,14.918,8.333,0.87999,-4.42002,-5.23925,1.25906,-6.72082,-7.02963,-1.01349,1.42815,-0.45743
3,23.150,8.333,-0.63985,-6.34284,-10.52356,1.38991,-6.64241,-7.07934,-0.80497,1.66640,-0.51369
4,31.659,8.333,-0.43141,-7.30127,-11.47915,1.55008,-6.58840,-7.09652,-0.48839,1.60790,-0.72713
5,39.993,8.333,-0.43141,-7.30127,-11.47915,1.62935,-6.56613,-7.09941,-0.40679,1.37210,-0.86429
6,48.086,8.333,-0.35973,-6.58016,-8.51423,1.76882,-6.52749,-7.10165,-0.22705,0.79268,-1.00898
7,56.446,8.333,0.28760,-5.36391,-6.89440,1.87399,-6.49639,-7.10320,-0.15821,0.38972,-0.92028
8,64.846,8.333,1.68342,-5.10294,-7.11198,1.91420,-6.48183,-7.10578,-0.29842,0.24455,-0.65713
9,73.164,8.333,3.04902,-5.67351,-7.46662,1.97514,-6.44705,-7.12072,-0.43132,0.23389,-0.52136
10,81.379,8.333,3.40770,-5.78140,-7.16914,2.01943,-6.40029,-7.15042,-0.64210,0.31222,-0.26997
11,89.646,8.333,3.40770,-5.78140,-7.16914,2.03970,-6.37375,-7.16835,-0.70755,0.41104,-0.18500
12,97.976,8.333,3.03136,-5.59420,-7.35888,2.08779,-6.31700,-7.20466,-0.77608,0.67605,-0.10119
13,106.235,8.333,1.91237,-5.66543,-8.11994,2.15256,-6.25852,-7.23656,-0.77272,0.94579,-0.07870
14,114.926,8.333,1.13111,-5.91413,-8.46186,2.19148,-6.22991,-7.24955,-0.74556,1.03809,-0.09299
15,123.069,8.333,1.27910,-6.32069,-8.32389,2.28042,-6.17375,-7.27013,-0.73778,1.20143,-0.12400
16,131.294,8.333,1.89785,-6.48993,-7.97928,2.38008,-6.11511,-7.28773,-0.79430,1.32862,-0.11448
17,139.721,8.333,1.89785,-6.48993,-7.97928,2.43370,-6.08387,-7.29616,-0.84242,1.42247,-0.10306
18,147.935,8.333,2.63886,-6.55637,-7.78684,2.55133,-6.01448,-7.31349,-1.00240,1.64304,-0.07005
19,156.238,8.333,3.09346,-6.59019,-7.75766,2.68190,-5.93244,-7.33375,-1.19981,1.83591,-0.00435
20,164.718,8.333,3.27287,-6.54395,-7.66504,2.75067,-5.88702,-7.34487,-1.27665,1.92032,0.03623
21,173.101,8.333,3.29098,-6.26129,-8.01534,2.89338,-5.79006,-7.36708,-1.42853,2.10200,0.16240
22,181.242,8.333,3.29143,-5.81267,-8.54790,3.04307,-5.68646,-7.38744,-1.56549,2.33511,0.33747
23,189.685,8.333,3.29143,-5.81267,-8.54790,3.12042,-5.63298,-7.39614,-1.65502,2.45328,0.46485
24,198.081,8.333,3.23008,-5.36062,-8.90972,3.27543,-5.52062,-7.41382,-1.88671,2.59074,0.70660
25,206.247,8.333,3.16109,-5.34446,-8.36429,3.42485,-5.39869,-7.43605,-2.11205,2.60133,0.89804
26,214.767,8.333,3.10124,-6.06706,-7.72774,3.49618,-5.33377,-7.44970,-2.23770,2.57022,0.97957
27,223.094,8.333,3.25552,-6.96847,-7.44986,3.62977,-5.19176,-7.48603,-2.54867,2.45083,1.07122
28,231.455,8.333,3.59923,-7.78101,-6.98718,3.73990,-5.02940,-7.54246,-2.82604,1.86625,1.13973
29,239.744,8.333,3.59923,-7.78101,-6.98718,3.77244,-4.94250,-7.58359,-2.91025,1.38047,1.18217
30,248.126,8.333,4.71224,-6.85625,-4.67872,3.79006,-4.76291,-7.68899,-3.02311,0.70842,1.32940
31,256.309,8.333,5.49709,-5.81941,-5.62069,3.72643,-4.57505,-7.83282,-3.32634,-0.53011,2.00438
32,264.763,8.333,2.62943,-3.49688,-6.56325,3.65353,-4.48179,-7.92058,-3.36053,-0.75322,2.19170
33,273.085,8.333,-5.01825,-5.25782,-11.78052,3.50743,-4.30509,-8.08298,-2.77073,-0.85490,1.72541
34,281.302,8.333,-8.04407,-10.85112,-11.19544,3.33934,-4.14540,-8.23619,-2.18175,-1.97063,0.63042
35,289.734,8.333,-8.04407,-10.85112,-11.19544,3.24763,-4.06501,-8.31258,-1.99425,-2.07780,0.12242
36,298.110,8.333,-9.41415,-9.69682,-10.27352,3.11416,-3.90918,-8.43746,-1.47910,-1.33868,-0.68480
37,306.288,8.333,-8.88054,-6.23196,-16.13453,3.06311,-3.77735,-8.51583,-0.87283,-0.84482,-1.35622
38,314.813,8.333,-7.54233,-4.99371,-16.97773,3.05974,-3.72363,-8.54067,-0.55767,-0.63908,-1.65915
39,323.056,8.333,-6.88961,-4.97769,-16.42677,3.09548,-3.63783,-8.56473,-0.09312,-0.19555,-2.17035
40,331.474,8.333,-6.40958,-5.31528,-15.20513,3.16894,-3.56526,-8.56838,0.14236,-0.14705,-2.60669
41,339.748,8.333,-6.40958,-5.31528,-15.20513,3.20882,-3.53062,-8.56788,0.25527,-0.23296,-2.79454
42,348.101,8.333,-6.30678,-5.33443,-13.38254,3.27146,-3.46952,-8.56915,0.55450,-0.77096,-3.06113
43,356.298,8.333,-5.85577,-3.95343,-12.27896,3.27635,-3.42653,-8.58457,0.82809,-1.66615,-3.18870
44,364.730,8.333,-4.90123,-2.18202,-11.11493,3.24909,-3.41145,-8.60092,0.91839,-2.16096,-3.25409
45,373.145,8.333,-4.10576,-1.44445,-10.95138,3.14169,-3.38901,-8.64955,1.01891,-2.88316,-3.40633
46,381.523,8.333,-2.96013,-0.91234,-12.78399,2.99637,-3.37367,-8.70692,1.09845,-3.10870,-3.55880
47,389.617,8.333,-2.96013,-0.91234,-12.78399,2.92206,-3.37021,-8.73348,1.18148,-3.06844,-3.62639
48,397.983,8.333,-0.85892,-0.02364,-15.53268,2.78818,-3.38067,-8.77312,1.46768,-2.78714,-3.71678
49,406.259,8.333,1.75061,0.66693,-17.67564,2.68635,-3.42282,-8.78853,1.82155,-2.40989,-3.75232
50,414.822,8.333,4.01163,1.27716,-18.33225,2.64966,-3.45654,-8.78647,1.98851,-2.19276,-3.75607
51,423.115,8.333,5.39473,2.25654,-17.78802,2.60877,-3.54475,-8.76353,2.24600,-1.72310,-3.76078
52,431.449,8.333,6.26443,2.88382,-16.29105,2.61499,-3.64788,-8.71924,2.34146,-1.24818,-3.77574
53,439.771,8.333,6.26443,2.88382,-16.29105,2.63382,-3.70096,-8.69116,2.36459,-1.07320,-3.76717
54,448.140,8.333,7.10928,3.28080,-14.05067,2.69044,-3.80580,-8.62831,2.32254,-0.85929,-3.64672
55,456.367,8.333,8.62810,3.42431,-11.60485,2.75869,-3.90419,-8.56255,2.18793,-0.72694,-3.39756
56,464.804,8.333,9.97095,3.42057,-9.86082,2.79359,-3.95001,-8.53016,2.11074,-0.69753,-3.25068
57,473.114,8.333,10.82748,3.33363,-8.59818,2.85720,-4.03562,-8.46880,1.96555,-0.73417,-2.94661
58,481.446,8.333,11.15459,3.16229,-7.80405,2.90705,-4.11673,-8.41261,1.86694,-0.78628,-2.66339
59,489.548,8.333,11.15459,3.16229,-7.80405,2.92770,-4.15632,-8.38594,1.80901,-0.77919,-2.50671
60,498.147,8.333,11.17449,3.04842,-7.89024,2.96322,-4.23284,-8.33503,1.65425,-0.70893,-2.16925
61,506.448,8.333,11.58824,2.76066,-7.64618,2.99522,-4.30283,-8.28762,1.47385,-0.58981,-1.87215
62,514.833,8.333,11.37725,1.82618,-7.05915,3.01092,-4.33499,-8.26514,1.38746,-0.53689,-1.73881
63,523.155,8.333,10.75026,0.82405,-6.44220,3.03969,-4.39455,-8.22305,1.23756,-0.47532,-1.47031
64,531.518,8.333,10.08213,0.30825,-5.87073,3.05990,-4.45030,-8.18549,1.11728,-0.48199,-1.20119
65,539.820,8.333,10.08213,0.30825,-5.87073,3.06486,-4.47760,-8.16873,1.06586,-0.51754,-1.07246
66,548.204,8.333,9.08974,-0.08993,-5.41628,3.06082,-4.53219,-8.14009,0.99467,-0.64564,-0.84567
67,556.537,8.333,7.93005,-0.66409,-4.93176,3.03680,-4.58731,-8.11818,0.91327,-0.78363,-0.66910
68,564.895,8.333,6.74222,-1.30439,-4.62305,3.01886,-4.61346,-8.11005,0.85332,-0.82713,-0.61647
69,573.274,8.333,5.61291,-2.00619,-4.52729,2.97646,-4.65918,-8.09957,0.69703,-0.87305,-0.54578
70,581.492,8.333,5.61291,-2.00619,-4.52729,2.95386,-4.67767,-8.09719,0.60712,-0.86011,-0.52923
71,589.812,8.333,4.59163,-2.52888,-4.69578,2.91180,-4.70470,-8.09677,0.44676,-0.77906,-0.53202
72,598.187,8.333,3.67345,-2.97539,-5.23238,2.87871,-4.72063,-8.09932,0.35097,-0.68979,-0.58907
73,606.527,8.333,3.15182,-3.34096,-5.75177,2.85423,-4.72936,-8.10289,0.31700,-0.65205,-0.67721
74,614.899,8.333,2.88621,-3.58143,-6.07259,2.84472,-4.73193,-8.10474,0.30412,-0.63451,-0.72468
75,623.173,8.333,2.83399,-3.64592,-6.50310,2.83263,-4.73414,-8.10768,0.29244,-0.54652,-0.81756
