# holiday_sleigh_bells_shake_capture v1
# recorded_at=2026-08-22T09:44:47
# device_model=iPhone14,2
# os_name=iOS
# os_version=26.6.0
# engine_version=4.6-stable (official)
# screen_refresh_hz=120.00
# engine_max_fps=0
# delta_smoothing=false
# sample_count=638
# duration_s=5.310
# achieved_rate_hz=120.14
# longest_frame_ms=14.0
sample,t_ms,dt_ms,accel_x,accel_y,accel_z,grav_x,grav_y,grav_z,gyro_x,gyro_y,gyro_z
0,0.000,8.333,1.25321,-5.72918,-10.23776,0.87047,-5.31899,-8.19274,-0.17323,-0.00733,-0.19029
1,6.442,8.333,0.97100,-6.08771,-10.02333,0.88272,-5.29810,-8.20496,-0.28407,-0.10188,-0.34283
2,14.758,8.333,1.24813,-5.82838,-7.92660,0.88031,-5.26556,-8.22614,-0.42485,-0.46585,-0.43394
3,22.975,8.333,1.28284,-5.21876,-6.27835,0.86907,-5.24445,-8.24081,-0.50294,-0.65314,-0.46294
4,31.301,8.333,1.10762,-5.10100,-6.07020,0.82011,-5.19442,-8.27742,-0.58576,-1.14183,-0.46357
5,39.709,8.333,1.10762,-5.10100,-6.07020,0.77906,-5.16892,-8.29733,-0.45543,-1.56628,-0.38283
6,47.966,8.333,1.19396,-4.96049,-7.07846,0.67040,-5.12914,-8.33144,-0.30944,-1.62532,-0.31622
7,56.375,8.333,1.04597,-4.72900,-9.46937,0.55375,-5.11795,-8.34688,0.08720,-1.41702,-0.16768
8,64.769,8.333,0.94047,-4.43990,-11.72680,0.45673,-5.14196,-8.33799,0.49158,-1.02060,-0.03047
9,73.028,8.333,0.62384,-4.19255,-12.53559,0.41771,-5.16615,-8.32507,0.66639,-0.85094,0.02800
10,81.317,8.333,0.29942,-4.09274,-11.93001,0.35535,-5.23428,-8.28531,0.95482,-0.56457,0.10878
11,89.752,8.333,0.29942,-4.09274,-11.93001,0.33149,-5.27656,-8.25945,1.07297,-0.42382,0.14614
12,97.782,8.333,0.31828,-4.14975,-11.21728,0.29911,-5.37367,-8.19784,1.25645,-0.12286,0.22415
13,106.409,8.333,0.52852,-4.12551,-10.46191,0.28435,-5.48107,-8.12696,1.33181,0.11162,0.33279
14,114.694,8.333,0.78533,-3.93573,-9.16132,0.28002,-5.53553,-8.09011,1.28188,0.19352,0.46543
15,122.992,8.333,1.07874,-4.01807,-7.57376,0.26922,-5.63991,-8.01806,1.21930,0.20278,0.53954
16,131.334,8.333,1.22703,-4.29295,-6.45896,0.25166,-5.73188,-7.95315,1.02756,0.22489,0.67067
17,139.671,8.333,1.22703,-4.29295,-6.45896,0.24091,-5.77115,-7.92503,0.90272,0.23991,0.71680
18,147.971,8.333,0.94436,-4.78406,-5.74968,0.21844,-5.83355,-7.87987,0.62464,0.28121,0.75192
19,156.338,8.333,0.48513,-5.42212,-5.34386,0.19809,-5.87232,-7.85156,0.31623,0.30115,0.73231
20,164.653,8.333,0.00628,-5.98236,-5.18001,0.18836,-5.88245,-7.84421,0.16323,0.28356,0.71134
21,173.065,8.333,-0.40118,-6.48499,-5.31992,0.16907,-5.88601,-7.84198,-0.09789,0.24422,0.64172
22,181.341,8.333,-0.71976,-6.90203,-5.88315,0.15213,-5.87180,-7.85297,-0.27961,0.22227,0.55146
23,189.742,8.333,-0.71976,-6.90203,-5.88315,0.14530,-5.86001,-7.86190,-0.33885,0.21439,0.49766
24,198.035,8.333,-0.84396,-6.97446,-6.53123,0.13577,-5.83164,-7.88315,-0.38595,0.20915,0.39390
25,206.380,8.333,-0.91818,-6.76646,-7.06424,0.13185,-5.80235,-7.90479,-0.35701,0.19551,0.29850
26,214.690,8.333,-0.78365,-6.44908,-7.52079,0.13148,-5.78909,-7.91451,-0.32082,0.19110,0.25832
27,223.045,8.333,-0.68205,-6.12093,-7.91358,0.13369,-5.76869,-7.92936,-0.19449,0.19192,0.18817
28,231.151,8.333,-0.52418,-5.97727,-8.16079,0.14070,-5.75920,-7.93613,-0.04757,0.21018,0.11472
29,239.704,8.333,-0.52418,-5.97727,-8.16079,0.14650,-5.75876,-7.93634,0.02240,0.21619,0.07087
30,248.159,8.333,-0.33145,-6.00047,-8.11260,0.16162,-5.76520,-7.93137,0.12924,0.19567,-0.01497
31,256.205,8.333,-0.17074,-6.01064,-7.75931,0.17785,-5.77733,-7.92220,0.16911,0.13095,-0.08506
32,264.643,8.333,-0.01167,-5.96889,-7.32701,0.18509,-5.78380,-7.91731,0.16073,0.09219,-0.10633
33,273.077,8.333,0.13093,-5.96680,-7.06125,0.19655,-5.79402,-7.90955,0.09590,0.02401,-0.13113
34,281.308,8.333,0.17388,-6.04895,-7.09986,0.20526,-5.79791,-7.90648,0.00516,0.00543,-0.13892
35,289.677,8.333,0.17388,-6.04895,-7.09985,0.20990,-5.79686,-7.90713,-0.05085,0.02519,-0.13889
36,297.989,8.333,0.17134,-6.07364,-7.35065,0.22325,-5.78795,-7.91329,-0.16840,0.09492,-0.15718
37,306.226,8.333,0.06075,-6.01319,-7.47230,0.24316,-5.76934,-7.92628,-0.29369,0.15597,-0.18205
38,314.706,8.333,-0.02454,-5.91188,-7.37773,0.25532,-5.75608,-7.93554,-0.36183,0.17746,-0.19775
39,323.054,8.333,0.07841,-5.78978,-7.27044,0.28296,-5.72148,-7.95958,-0.49124,0.22434,-0.20790
40,331.398,8.333,0.19932,-5.60947,-7.18665,0.31461,-5.67668,-7.99041,-0.61271,0.27574,-0.19497
41,339.692,8.333,0.19932,-5.60947,-7.18665,0.33136,-5.65061,-8.00820,-0.67200,0.28541,-0.19237
42,347.990,8.333,0.28686,-5.52597,-6.94857,0.36340,-5.59054,-8.04886,-0.80872,0.21404,-0.21452
43,356.260,8.333,0.29733,-5.67905,-6.52540,0.38775,-5.51869,-8.09717,-0.94252,0.05346,-0.27109
44,364.672,8.333,0.20530,-6.01184,-6.42275,0.39666,-5.47861,-8.12391,-1.00122,-0.01286,-0.31051
45,373.028,8.333,0.12510,-6.11928,-6.91445,0.41137,-5.39131,-8.18138,-1.09618,-0.08301,-0.38576
46,381.313,8.333,0.08948,-5.88270,-7.53410,0.42585,-5.29648,-8.24235,-1.16002,-0.11185,-0.46318
47,389.740,8.333,0.08948,-5.88270,-7.53410,0.43393,-5.24698,-8.27353,-1.18107,-0.11350,-0.50136
48,397.979,8.333,-0.02679,-5.57610,-8.05215,0.45390,-5.14512,-8.33619,-1.20694,-0.06330,-0.55623
