# holiday_sleigh_bells_shake_capture v1
# recorded_at=2026-08-22T09:43:15
# device_model=iPhone14,2
# os_name=iOS
# os_version=26.6.0
# engine_version=4.6-stable (official)
# screen_refresh_hz=120.00
# engine_max_fps=0
# delta_smoothing=false
# sample_count=1245
# duration_s=10.374
# achieved_rate_hz=120.01
# longest_frame_ms=13.8
sample,t_ms,dt_ms,accel_x,accel_y,accel_z,grav_x,grav_y,grav_z,gyro_x,gyro_y,gyro_z
0,0.000,8.333,0.26650,-7.82335,-5.51444,-0.10760,-7.67771,-6.10013,-0.74196,-0.30992,-0.04136
1,13.751,12.508,0.28955,-7.70649,-7.12140,-0.13206,-7.61568,-6.17693,-0.56206,-0.13379,0.09454
2,23.610,9.091,0.22924,-7.48577,-7.96087,-0.14679,-7.58696,-6.21184,-0.35506,-0.01194,0.17018
3,31.881,9.091,0.08739,-7.35170,-8.05050,-0.15790,-7.57080,-6.23124,-0.15806,0.10944,0.19750
4,40.081,9.091,-0.13258,-7.46108,-7.99424,-0.16272,-7.56537,-6.23772,-0.01336,0.22540,0.20300
5,48.490,9.091,-0.29523,-7.44687,-7.74569,-0.16268,-7.56558,-6.23746,0.03788,0.26547,0.20024
6,56.799,9.091,-0.33728,-7.35005,-7.24919,-0.15921,-7.56967,-6.23258,0.09591,0.30479,0.18245
7,65.149,9.091,-0.33384,-7.32775,-6.75210,-0.15267,-7.57585,-6.22523,0.10443,0.30243,0.14964
8,73.600,8.753,-0.33384,-7.32775,-6.75210,-0.14878,-7.57898,-6.22152,0.10251,0.28068,0.12461
9,81.814,8.333,-0.37484,-7.36157,-6.39357,-0.14032,-7.58455,-6.21493,0.07950,0.23031,0.07435
10,90.224,8.333,-0.30017,-7.37893,-6.15864,-0.13129,-7.58863,-6.21014,0.05668,0.19935,0.04179
11,98.617,8.333,-0.12809,-7.41260,-6.17031,-0.12672,-7.59034,-6.20815,0.05542,0.19474,0.04070
12,106.955,8.354,0.01257,-7.39090,-6.26862,-0.11789,-7.59370,-6.20420,0.05375,0.20083,0.05683
13,115.254,8.333,0.10534,-7.41320,-6.22044,-0.11098,-7.59689,-6.20043,0.04655,0.20170,0.09240
14,123.755,8.461,0.10534,-7.41320,-6.22044,-0.10880,-7.59778,-6.19938,0.01402,0.17813,0.10321
15,131.763,8.333,0.09891,-7.45061,-6.05868,-0.10798,-7.59454,-6.20337,-0.11532,0.08467,0.07112
16,140.112,8.333,-0.17448,-7.47739,-5.62263,-0.10717,-7.58515,-6.21486,-0.17945,0.06399,0.03067
17,148.417,8.333,-0.17104,-7.61206,-6.04551,-0.10662,-7.57915,-6.22217,-0.20361,0.03124,0.01862
18,156.754,8.333,-0.19378,-7.52976,-6.24872,-0.10711,-7.56540,-6.23888,-0.23071,-0.03681,-0.01198
19,165.676,8.510,-0.19812,-7.56388,-6.52151,-0.10946,-7.55115,-6.25608,-0.21750,-0.06900,-0.01484
20,173.952,8.348,-0.19812,-7.56388,-6.52151,-0.11143,-7.54461,-6.26393,-0.19961,-0.08195,-0.00585
21,182.270,8.333,-0.02155,-7.53859,-6.70391,-0.11774,-7.53359,-6.27706,-0.15058,-0.06224,0.04697
22,190.348,8.333,0.18166,-7.24291,-6.74806,-0.12456,-7.52560,-6.28651,-0.09666,0.03642,0.10680
23,198.805,8.333,0.34072,-7.04793,-6.99660,-0.12692,-7.52278,-6.28984,-0.07714,0.08301,0.11873
24,207.193,8.333,0.25334,-7.11093,-6.86029,-0.12903,-7.51908,-6.29421,-0.03733,0.13145,0.11535
25,215.500,8.333,0.00494,-7.23588,-6.58765,-0.12775,-7.51721,-6.29647,-0.02046,0.14214,0.08298
26,223.859,8.333,0.00494,-7.23588,-6.58765,-0.12587,-7.51646,-6.29741,-0.02437,0.14295,0.05576
27,232.307,8.333,-0.08036,-7.25264,-6.39835,-0.11889,-7.51463,-6.29973,-0.02990,0.16203,0.01379
28,240.343,8.333,-0.08514,-7.24022,-6.43696,-0.10779,-7.51246,-6.30251,-0.03431,0.18819,-0.00933
29,248.812,8.333,-0.01167,-7.20789,-6.44384,-0.10121,-7.51140,-6.30388,-0.03220,0.19781,-0.01558
30,257.064,8.333,0.09128,-7.21687,-6.41721,-0.08654,-7.50972,-6.30611,-0.02031,0.22659,-0.01807
31,265.412,8.333,0.17059,-7.28017,-6.50041,-0.06950,-7.50896,-6.30722,-0.00238,0.26575,-0.01752
32,273.694,8.333,0.17059,-7.28017,-6.50041,-0.06021,-7.50923,-6.30700,0.01894,0.28233,-0.01553
33,281.936,8.333,0.23164,-7.32626,-6.57612,-0.04085,-7.51118,-6.30483,0.04533,0.29737,-0.01157
34,290.588,8.333,0.26142,-7.44028,-6.52929,-0.02070,-7.51475,-6.30067,0.06222,0.33057,0.00118
35,298.409,8.333,0.23314,-7.53201,-6.47392,-0.01013,-7.51667,-6.29841,0.06007,0.35749,0.01494
36,307.054,8.333,0.27414,-7.48816,-6.45267,0.01169,-7.51983,-6.29463,0.03733,0.40763,0.05147
37,315.375,8.333,0.24855,-7.46183,-6.41766,0.03334,-7.52127,-6.29284,0.00835,0.44445,0.08881
38,323.719,8.333,0.24855,-7.46183,-6.41766,0.04374,-7.52139,-6.29263,-0.00175,0.44251,0.10177
39,331.874,8.333,0.18420,-7.58543,-6.38324,0.06317,-7.52077,-6.29321,-0.02013,0.43078,0.11324
40,340.571,8.333,-0.02304,-7.69751,-6.38309,0.08145,-7.51934,-6.29470,-0.03121,0.43744,0.12465
41,349.023,8.352,-0.09113,-7.64678,-6.55368,0.09062,-7.51838,-6.29572,-0.03169,0.44118,0.12553
42,357.192,8.333,-0.00449,-7.56942,-6.60470,0.10917,-7.51644,-6.29775,-0.03441,0.42594,0.10977
43,365.407,8.333,0.03277,-7.57705,-6.53946,0.12742,-7.51458,-6.29962,-0.02785,0.39604,0.09457
44,373.695,8.333,0.03277,-7.57705,-6.53946,0.13632,-7.51385,-6.30030,-0.02179,0.37799,0.08193
45,382.094,8.333,-0.02364,-7.57570,-6.56550,0.15393,-7.51304,-6.30087,-0.00706,0.35811,0.06573
46,390.330,8.333,-0.01107,-7.54787,-6.55203,0.17202,-7.51334,-6.30005,0.01806,0.36720,0.05727
47,398.822,8.333,0.03232,-7.44821,-6.58720,0.18172,-7.51409,-6.29888,0.02759,0.38069,0.05548
48,407.007,8.333,0.03053,-7.38626,-6.53767,0.20202,-7.51679,-6.29503,0.05123,0.38528,0.04932
49,415.515,8.333,0.02110,-7.37639,-6.35227,0.22311,-7.52080,-6.28953,0.07305,0.38242,0.03263
50,423.793,8.333,0.02110,-7.37639,-6.35227,0.23392,-7.52310,-6.28639,0.07059,0.37569,0.02766
51,432.160,8.333,0.10609,-7.35110,-6.17554,0.25487,-7.52742,-6.28040,0.06487,0.35110,0.02661
52,440.564,8.333,0.24451,-7.26969,-6.02082,0.27394,-7.53120,-6.27506,0.05076,0.32910,0.03326
