# holiday_sleigh_bells_shake_capture v1
# recorded_at=2026-08-22T09:12:11
# device_model=iPad13,16
# os_name=iOS
# os_version=18.6.2
# engine_version=4.6-stable (official)
# target_frame_rate=60
# sample_count=416
# duration_s=6.946
# achieved_rate_hz=59.89
# longest_frame_ms=31.3
sample,t_ms,dt_ms,accel_x,accel_y,accel_z,grav_x,grav_y,grav_z,gyro_x,gyro_y,gyro_z
0,0.000,16.667,0.20201,-7.61865,-6.70855,0.22236,-7.85005,-5.87347,-0.09944,-0.08773,-0.08744
1,25.655,18.056,0.31574,-7.95997,-6.12362,0.21962,-7.82550,-5.90625,-0.11773,-0.11223,-0.07489
2,42.388,18.056,0.31574,-8.02596,-5.94151,0.22161,-7.81822,-5.91580,-0.03434,0.01301,-0.03782
3,62.061,18.073,0.31155,-7.91448,-6.07304,0.23418,-7.82223,-5.91001,0.10222,0.16479,0.01696
4,93.337,31.303,0.19603,-7.64618,-6.40404,0.26680,-7.85406,-5.86625,0.24842,0.22629,0.01998
5,109.214,18.056,0.19154,-7.62942,-6.41541,0.28257,-7.87734,-5.83421,0.27133,0.17117,0.01509
6,128.527,18.056,0.13393,-7.74524,-6.33850,0.29238,-7.90731,-5.79305,0.23185,0.03951,0.02376
7,146.510,18.056,-0.00928,-7.72878,-5.90650,0.28812,-7.92998,-5.76219,0.15772,-0.05277,0.01111
8,164.108,18.056,-0.14515,-7.77367,-5.45190,0.28353,-7.94146,-5.74659,0.10888,-0.04722,-0.01018
9,180.702,18.056,-0.13123,-7.94785,-5.31603,0.28322,-7.95110,-5.73325,0.06698,0.01731,-0.01248
10,197.245,18.056,-0.07961,-8.01848,-5.40371,0.28726,-7.95634,-5.72578,0.05930,0.06133,0.00611
11,214.030,18.056,-0.00075,-8.06502,-5.71107,0.29132,-7.96208,-5.71758,0.07380,0.07869,0.02738
12,230.686,18.056,0.01437,-8.02911,-5.82838,0.29496,-7.97150,-5.70426,0.08708,0.08545,0.04811
13,247.572,17.493,-0.03891,-7.96925,-5.82719,0.29623,-7.97937,-5.69319,0.09126,0.08773,0.05190
14,263.936,16.667,-0.19363,-7.77352,-5.79681,0.29842,-7.98809,-5.68083,0.10807,0.09559,0.03498
