# holiday_sleigh_bells_shake_capture v1
# recorded_at=2026-08-22T09:12:58
# device_model=iPad13,16
# os_name=iOS
# os_version=18.6.2
# engine_version=4.6-stable (official)
# target_frame_rate=60
# sample_count=921
# duration_s=15.330
# achieved_rate_hz=60.08
# longest_frame_ms=19.8
sample,t_ms,dt_ms,accel_x,accel_y,accel_z,grav_x,grav_y,grav_z,gyro_x,gyro_y,gyro_z
0,0.000,16.667,-0.36018,-7.20340,-8.38794,-0.37508,-7.57650,-6.21502,-0.19592,-0.04769,-0.10704
1,14.027,16.667,0.00060,-7.84385,-8.51064,-0.39867,-7.54513,-6.25160,-0.26114,-0.45153,-0.04344
2,30.887,16.667,-0.01526,-8.05724,-7.33718,-0.44313,-7.52564,-6.27206,-0.14519,-0.48415,0.02969
3,47.557,16.667,-0.19064,-8.04392,-6.78981,-0.49174,-7.51707,-6.27872,-0.02856,-0.38889,0.08355
4,64.269,16.667,-0.74445,-7.45360,-5.97383,-0.53846,-7.52283,-6.26797,0.12795,-0.16302,0.05683
5,80.882,16.667,-1.12542,-7.16405,-5.75357,-0.55021,-7.53794,-6.24877,0.19140,-0.03258,-0.00678
6,97.507,16.667,-1.16253,-7.19742,-5.75267,-0.54489,-7.55702,-6.22615,0.20173,0.04242,-0.06640
7,114.755,16.667,-1.11809,-7.45106,-5.93223,-0.52411,-7.58118,-6.19850,0.17484,0.06332,-0.11084
8,131.297,16.667,-0.93598,-7.64963,-6.00256,-0.50523,-7.59766,-6.17987,0.16020,0.06383,-0.11643
9,147.913,16.667,-0.81268,-7.70125,-6.01409,-0.48635,-7.61251,-6.16308,0.14073,0.06255,-0.10838
10,164.678,16.667,-0.62219,-7.71621,-6.12063,-0.46281,-7.62987,-6.14339,0.12712,0.06168,-0.09817
11,181.294,16.667,-0.52164,-7.70514,-6.26039,-0.44678,-7.64167,-6.12990,0.11508,0.05196,-0.08951
12,197.714,16.667,-0.51924,-7.63331,-6.39686,-0.43276,-7.65285,-6.11695,0.11852,0.02493,-0.09231
13,214.690,16.667,-0.44876,-7.52438,-6.40419,-0.41578,-7.66914,-6.09769,0.13837,0.00186,-0.10184
14,230.915,16.667,-0.44607,-7.60309,-6.38803,-0.40446,-7.68296,-6.08103,0.15207,-0.01565,-0.10585
15,247.853,16.667,-0.46148,-7.62254,-6.37262,-0.39393,-7.69883,-6.06162,0.17945,-0.02364,-0.11077
16,264.781,16.667,-0.47279,-7.66377,-6.33427,-0.38380,-7.71667,-6.03954,0.20030,-0.04147,-0.10979
17,281.321,16.667,-0.45505,-7.67506,-6.15684,-0.37258,-7.74202,-6.00772,0.20615,-0.05722,-0.10956
18,297.888,16.667,-0.47570,-7.72998,-6.07289,-0.36513,-7.76075,-5.98396,0.19470,-0.06460,-0.10997
19,314.706,16.667,-0.52098,-7.78887,-5.83402,-0.35749,-7.77829,-5.96161,0.17815,-0.03507,-0.11073
20,331.290,16.667,-0.56922,-7.83308,-5.85367,-0.34311,-7.80044,-5.93344,0.17995,-0.00934,-0.11694
21,347.872,16.667,-0.54378,-7.84236,-5.91607,-0.32895,-7.81757,-5.91167,0.19262,0.00704,-0.12237
22,364.721,16.667,-0.51281,-7.86585,-6.03040,-0.31375,-7.83579,-5.88833,0.20795,0.00351,-0.13244
23,381.154,16.667,-0.47854,-7.94246,-5.96949,-0.29292,-7.86145,-5.85510,0.21640,-0.00901,-0.13781
24,397.910,16.667,-0.47869,-7.94725,-5.86939,-0.27655,-7.88175,-5.82855,0.23301,0.00217,-0.14553
25,414.657,16.667,-0.51236,-7.98376,-5.85637,-0.25795,-7.90418,-5.79895,0.28202,0.02595,-0.15213
26,431.328,16.667,0.02334,-8.04317,-5.94809,-0.23049,-7.93833,-5.75327,0.30422,0.02119,-0.15964
27,447.908,16.667,-0.14440,-8.26942,-5.58403,-0.20931,-7.96615,-5.71550,0.32801,0.04530,-0.15044
28,464.606,16.667,0.32067,-8.49792,-5.54482,-0.18828,-7.99477,-5.67614,0.32500,0.05253,-0.10762
