# holiday_sleigh_bells_shake_capture v1
# recorded_at=2026-08-22T09:00:44
# device_model=iPad13,16
# os_name=iOS
# os_version=18.6.2
# engine_version=4.6-stable (official)
# target_frame_rate=60
# sample_count=582
# duration_s=9.678
# achieved_rate_hz=60.14
# longest_frame_ms=16.7
sample,t_ms,dt_ms,accel_x,accel_y,accel_z,grav_x,grav_y,grav_z,gyro_x,gyro_y,gyro_z
0,0.000,16.667,-0.32845,-8.64037,-5.11357,-0.66300,-8.39514,-5.02518,0.00144,-0.09979,0.00763
1,12.140,16.667,-0.23837,-8.66132,-4.96303,-0.67328,-8.39688,-5.02090,0.01826,-0.08389,0.00977
2,28.598,16.667,-0.24062,-8.82682,-5.04458,-0.68263,-8.39684,-5.01971,-0.01684,-0.10921,0.02410
3,45.178,16.667,-0.33115,-8.76802,-5.07451,-0.69636,-8.39395,-5.02266,-0.04758,-0.13582,0.04399
4,61.840,16.667,-0.77767,-8.38405,-5.14634,-0.71920,-8.38769,-5.02988,-0.05233,-0.15459,0.03875
5,78.528,16.667,-0.97743,-8.14567,-5.13571,-0.73486,-8.38422,-5.03341,-0.03143,-0.16001,0.02029
6,95.437,16.667,-0.99434,-8.14373,-5.19497,-0.74986,-8.38189,-5.03507,-0.03260,-0.19112,0.00817
7,112.118,16.667,-0.98836,-8.29800,-5.06194,-0.77244,-8.37704,-5.03974,-0.06532,-0.22966,0.00720
8,128.712,16.667,-0.93374,-8.53114,-4.83644,-0.79149,-8.37079,-5.04716,-0.09067,-0.22826,0.01836
9,145.388,16.667,-0.93913,-8.50181,-4.78541,-0.81095,-8.36318,-5.05668,-0.10059,-0.20045,0.02780
10,162.135,16.667,-0.97863,-8.48625,-4.75863,-0.83292,-8.35288,-5.07011,-0.09260,-0.13605,0.02248
11,178.776,16.667,-1.00661,-8.40829,-4.79424,-0.84237,-8.34633,-5.07933,-0.07640,-0.07178,0.00537
12,195.390,16.667,-0.98282,-8.40559,-4.92502,-0.84588,-8.34154,-5.08661,-0.04781,-0.01990,-0.00979
13,211.986,16.667,-1.03385,-8.34454,-5.16893,-0.84191,-8.33926,-5.09100,-0.00318,0.02887,-0.03231
14,228.718,16.667,-0.92282,-8.33077,-5.37094,-0.83339,-8.34111,-5.08938,0.03912,0.05513,-0.05089
15,245.364,16.667,-0.87478,-8.43687,-5.44666,-0.82088,-8.34680,-5.08208,0.09291,0.08215,-0.06183
16,261.982,16.667,-0.86880,-8.46145,-5.30619,-0.80498,-8.35694,-5.06794,0.15451,0.11692,-0.08251
17,278.750,16.667,-0.97668,-8.26763,-5.25258,-0.77776,-8.37428,-5.04351,0.16171,0.11662,-0.11095
18,295.321,16.667,-1.02232,-8.28738,-5.03875,-0.75223,-8.38823,-5.02415,0.17177,0.14779,-0.13835
19,312.073,16.667,-0.93883,-8.41397,-4.83075,-0.70893,-8.40834,-4.99676,0.18489,0.21212,-0.15327
20,328.647,16.667,-0.71153,-8.53294,-5.13003,-0.67380,-8.42411,-4.97502,0.19183,0.20709,-0.14666
21,345.258,16.667,-0.64703,-8.47503,-5.20859,-0.64097,-8.43959,-4.95307,0.18491,0.17508,-0.14745
22,362.051,16.667,-0.43829,-8.49029,-5.24225,-0.61043,-8.45423,-4.93192,0.17150,0.13253,-0.15170
23,378.734,16.667,-0.03427,-8.71205,-5.28655,-0.57665,-8.47102,-4.90711,0.13674,0.06338,-0.12418
24,395.363,16.667,0.05791,-8.78522,-5.29553,-0.55995,-8.48116,-4.89149,0.11801,0.02495,-0.08790
25,412.312,16.667,-0.10729,-8.78358,-5.07870,-0.54694,-8.49383,-4.87095,0.12476,0.02179,-0.05174
26,428.705,16.667,-0.47570,-8.29007,-4.70535,-0.53718,-8.50376,-4.85467,0.13243,0.05645,-0.06501
27,445.375,16.667,-0.50488,-8.04826,-4.42583,-0.52029,-8.51371,-4.83905,0.12489,0.13503,-0.08905
28,461.958,16.667,-0.63671,-8.16363,-4.49092,-0.49525,-8.52315,-4.82504,0.11163,0.17812,-0.12250
29,478.744,16.667,-0.49156,-8.32943,-4.73633,-0.45102,-8.53398,-4.81021,0.08096,0.20527,-0.17307
30,495.262,16.667,-0.31648,-8.57064,-4.91694,-0.41245,-8.54025,-4.80254,0.06146,0.20516,-0.19051
31,512.004,16.667,-0.07033,-8.84134,-4.82117,-0.37224,-8.54614,-4.79534,0.07912,0.24777,-0.18602
32,528.688,16.667,-0.23508,-8.57139,-4.66495,-0.31167,-8.55896,-4.77676,0.16231,0.34662,-0.19533
33,545.371,16.667,-0.29583,-8.36399,-4.74037,-0.25804,-8.57253,-4.75558,0.18819,0.38414,-0.22784
34,562.024,16.667,-0.17358,-8.47936,-4.88986,-0.19939,-8.58714,-4.73199,0.19624,0.38935,-0.25267
35,578.778,16.667,0.42961,-9.03287,-5.30450,-0.12025,-8.60683,-4.69876,0.21204,0.36109,-0.24227
36,595.357,16.667,0.63940,-9.34322,-5.43514,-0.06752,-8.62387,-4.66849,0.26655,0.33292,-0.19601
37,612.014,16.667,0.66185,-9.63666,-5.10384,-0.02146,-8.64432,-4.63095,0.31065,0.33904,-0.15791
38,628.589,16.667,0.63701,-10.34235,-5.20694,0.03475,-8.67430,-4.57446,0.32842,0.32253,-0.12769
39,645.330,16.667,0.85009,-10.87910,-5.27143,0.06981,-8.69643,-4.53185,0.31917,0.28867,-0.08280
40,661.992,16.667,1.22119,-12.03700,-6.09459,0.09303,-8.71823,-4.48935,0.32883,0.21116,-0.00864
41,678.682,16.667,1.41168,-13.07758,-6.84023,0.09599,-8.75020,-4.42665,0.40007,0.09303,0.13600
42,695.310,16.667,1.44685,-13.25954,-7.20236,0.07375,-8.78121,-4.36524,0.54171,0.05113,0.28186
43,712.143,16.667,1.03534,-12.58542,-8.21899,0.03178,-8.82557,-4.27535,0.83201,-0.01947,0.36182
44,728.582,16.667,0.44487,-11.62744,-7.26730,-0.03930,-8.90943,-4.09767,1.15780,-0.00405,0.42192
45,745.360,16.667,0.00958,-10.91472,-6.91954,-0.09577,-8.98537,-3.92739,1.36466,0.03667,0.42265
46,762.031,16.667,-0.51176,-9.82431,-5.81252,-0.14763,-9.06728,-3.73269,1.49950,0.08335,0.38991
47,778.764,16.667,-0.77004,-8.66237,-4.50289,-0.20637,-9.17793,-3.44867,1.58940,0.11782,0.32713
48,795.373,16.667,-1.01484,-7.93887,-3.71101,-0.24006,-9.25615,-3.23056,1.55319,0.12733,0.24031
