# holiday_sleigh_bells_shake_capture v1
# recorded_at=2026-08-22T09:13:30
# device_model=iPad13,16
# os_name=iOS
# os_version=18.6.2
# engine_version=4.6-stable (official)
# target_frame_rate=60
# sample_count=1277
# duration_s=21.263
# achieved_rate_hz=60.06
# longest_frame_ms=20.8
sample,t_ms,dt_ms,accel_x,accel_y,accel_z,grav_x,grav_y,grav_z,gyro_x,gyro_y,gyro_z
0,0.000,16.667,-0.16236,-6.76152,-7.94920,-0.53963,-5.74344,-7.93045,-0.18800,-0.02513,0.04317
1,14.644,16.667,-0.86969,-5.73411,-8.42714,-0.54142,-5.73469,-7.93666,0.03627,0.07842,0.07333
2,31.178,16.667,-1.27252,-5.25557,-8.51707,-0.53399,-5.74711,-7.92818,0.15842,0.12094,0.03583
3,47.478,16.667,-1.53738,-4.92532,-7.84700,-0.50829,-5.77968,-7.90616,0.23421,0.19341,-0.06574
4,64.183,16.667,-1.31516,-5.04653,-8.04242,-0.47620,-5.80731,-7.88789,0.20727,0.16679,-0.14532
5,81.366,16.667,-1.08293,-5.30136,-8.67943,-0.45080,-5.82821,-7.87395,0.12229,-0.00141,-0.18835
6,97.720,16.667,-0.90546,-5.62503,-9.61706,-0.45366,-5.83748,-7.86692,-0.02396,-0.33026,-0.20142
7,117.365,16.667,-1.07365,-5.57221,-8.97975,-0.49601,-5.82925,-7.87046,-0.09769,-0.48818,-0.23277
8,133.263,16.667,-1.01604,-6.01394,-7.88261,-0.53201,-5.81819,-7.87630,-0.11974,-0.44910,-0.22411
9,148.326,16.667,-1.02592,-6.04835,-7.76051,-0.56199,-5.80398,-7.88470,-0.15223,-0.39043,-0.22941
10,164.177,16.667,-1.28868,-5.83407,-8.12068,-0.58521,-5.78656,-7.89580,-0.16758,-0.35645,-0.24879
11,180.648,16.667,-1.20309,-5.82853,-8.24473,-0.60378,-5.77014,-7.90641,-0.14128,-0.33191,-0.26480
12,200.079,16.667,-0.98357,-5.80654,-8.28424,-0.62266,-5.75643,-7.91493,-0.07257,-0.29825,-0.28699
13,213.732,16.667,-0.85952,-5.80744,-8.37596,-0.63032,-5.75528,-7.91516,0.01027,-0.26632,-0.30175
14,231.910,16.667,-0.83303,-5.83362,-8.38794,-0.63481,-5.76403,-7.90844,0.08788,-0.24491,-0.30308
15,249.095,16.667,-0.26800,-6.19440,-7.90730,-0.63530,-5.78867,-7.89038,0.16452,-0.19571,-0.27344
16,266.443,16.667,0.81867,-7.25578,-7.24560,-0.63544,-5.81229,-7.87299,0.19058,-0.13910,-0.18326
17,283.279,16.667,1.17780,-7.85313,-6.44594,-0.63501,-5.84387,-7.84961,0.19252,0.01779,-0.00834
18,299.897,16.667,1.03130,-7.60518,-6.14741,-0.62633,-5.86368,-7.83552,0.14661,0.19089,0.08558
19,316.953,16.667,0.47076,-6.54709,-6.74851,-0.60671,-5.87724,-7.82689,0.09964,0.29761,0.12051
20,333.394,16.667,-0.70554,-4.66929,-7.99603,-0.56840,-5.88363,-7.82497,-0.00868,0.25697,0.01449
21,350.161,16.667,-1.02352,-4.12057,-8.53189,-0.54018,-5.88011,-7.82962,-0.06227,0.14322,-0.13423
