# holiday_sleigh_bells_shake_capture v1
# recorded_at=2026-08-22T09:12:36
# device_model=iPad13,16
# os_name=iOS
# os_version=18.6.2
# engine_version=4.6-stable (official)
# target_frame_rate=60
# sample_count=1014
# duration_s=16.882
# achieved_rate_hz=60.06
# longest_frame_ms=20.5
sample,t_ms,dt_ms,accel_x,accel_y,accel_z,grav_x,grav_y,grav_z,gyro_x,gyro_y,gyro_z
48,799.592,16.667,0.94347,-8.87575,-3.54282,0.92543,-8.85180,-4.11821,-0.02962,-0.00320,-0.20790
49,816.497,16.667,0.92581,-8.60192,-3.50137,0.97287,-8.84303,-4.12610,-0.07293,0.08180,-0.28277
50,832.860,16.667,1.05689,-8.71654,-3.16828,1.01763,-8.83174,-4.13947,-0.15249,0.07270,-0.31240
51,849.699,16.667,1.03534,-8.74617,-3.02283,1.06263,-8.81355,-4.16685,-0.27712,0.06950,-0.29574
52,866.114,16.667,0.70360,-8.63873,-2.84641,1.11978,-8.77644,-4.22972,-0.45145,0.08596,-0.28744
53,883.003,16.667,0.54139,-8.72342,-2.91539,1.16652,-8.73817,-4.29582,-0.57708,0.11561,-0.32857
54,899.826,16.667,0.42662,-8.78418,-3.08523,1.22304,-8.69083,-4.37538,-0.66413,0.15107,-0.39782
55,916.301,16.667,1.07140,-8.42819,-3.85526,1.30578,-8.62086,-4.48844,-0.65613,0.10816,-0.39366
56,932.927,16.667,1.41812,-8.31417,-4.35535,1.35913,-8.57152,-4.56641,-0.57060,0.09056,-0.32760
57,949.518,16.667,1.45119,-8.34978,-4.43242,1.40240,-8.52998,-4.63067,-0.45319,0.06550,-0.25987
58,966.186,16.667,1.41767,-8.34948,-4.58370,1.44036,-8.48968,-4.69266,-0.29204,0.02997,-0.11228
59,982.718,16.667,1.46600,-8.16632,-4.59881,1.44740,-8.47197,-4.72241,-0.18879,0.03554,0.03671
60,999.652,16.667,1.57314,-8.16737,-4.62620,1.43563,-8.46334,-4.74145,-0.12300,0.00591,0.17063
61,1016.224,16.667,1.35676,-8.38195,-4.60734,1.39591,-8.45779,-4.76316,-0.14328,-0.10832,0.20850
62,1032.671,16.667,1.13246,-8.59698,-4.86547,1.36319,-8.44835,-4.78931,-0.22104,-0.18255,0.13294
63,1049.806,16.667,1.28988,-8.72716,-5.02393,1.33922,-8.43190,-4.82494,-0.27007,-0.19151,0.01940
64,1066.320,16.667,1.18468,-8.83580,-5.30361,1.33725,-8.40321,-4.87527,-0.27055,-0.15223,-0.20183
65,1083.303,16.667,1.19126,-8.98694,-5.39234,1.36090,-8.37757,-4.91271,-0.27624,-0.12367,-0.31055
66,1099.832,16.667,1.39776,-8.91795,-5.47898,1.38731,-8.35141,-4.94971,-0.26433,-0.15067,-0.24831
67,1116.138,16.667,1.74148,-8.86513,-5.52836,1.39476,-8.32335,-4.99468,-0.21622,-0.16239,-0.03387
68,1132.797,16.667,1.61070,-8.96299,-5.87777,1.37845,-8.31062,-5.02034,-0.13387,-0.15041,0.10010
69,1149.704,16.667,1.57015,-9.06594,-6.06227,1.34784,-8.30746,-5.03387,-0.03629,-0.13993,0.20559
70,1166.028,16.667,1.18827,-8.98993,-6.20188,1.29531,-8.32144,-5.02455,0.19465,-0.14637,0.23711
71,1182.716,16.667,1.33701,-8.86049,-5.55589,1.25620,-8.34332,-4.99814,0.25467,-0.14294,0.21334
72,1199.574,16.667,1.45074,-8.67883,-5.31348,1.21972,-8.36597,-4.96923,0.24132,-0.14114,0.20109
73,1216.256,16.667,1.47737,-8.40485,-4.81893,1.17182,-8.39121,-4.93811,0.16370,-0.14878,0.19582
74,1230.715,16.667,1.36661,-8.50366,-4.66608,1.14765,-8.40062,-4.92776,0.10829,-0.16265,0.19429
75,1247.567,16.667,1.26085,-8.53757,-4.64490,1.10023,-8.41424,-4.91532,0.06937,-0.14864,0.17824
76,1266.086,16.667,0.91773,-8.57004,-4.74276,1.05807,-8.42347,-4.90877,0.05106,-0.14278,0.15285
77,1282.847,16.667,0.80834,-8.47892,-4.95435,1.02952,-8.43000,-4.90362,0.06838,-0.12912,0.14109
78,1300.597,16.667,0.79263,-8.49298,-4.82596,1.00273,-8.43803,-4.89536,0.08963,-0.09147,0.14698
79,1316.462,16.667,0.89648,-8.46485,-4.78990,0.97269,-8.45010,-4.88058,0.09730,-0.04815,0.13318
80,1332.862,16.667,0.78350,-8.50795,-4.61213,0.95424,-8.45881,-4.86912,0.08469,-0.03162,0.10706
81,1349.621,16.667,0.84426,-8.48490,-4.63727,0.93975,-8.46529,-4.86068,0.05714,-0.03986,0.08206
82,1366.565,16.667,1.05689,-8.46545,-4.50978,0.92223,-8.47043,-4.85506,0.01206,-0.03660,0.08231
83,1383.023,16.667,0.86924,-8.52710,-4.62156,0.90985,-8.47157,-4.85542,-0.00608,-0.01840,0.07937
84,1399.575,16.667,0.75238,-8.57199,-4.61497,0.89947,-8.47216,-4.85633,-0.00627,-0.00703,0.06658
85,1416.168,16.667,0.74221,-8.51347,-4.64267,0.89177,-8.47213,-4.85779,-0.02489,0.00422,0.05226
