# holiday_sleigh_bells_shake_capture v1
# recorded_at=2026-08-22T09:13:16
# device_model=iPad13,16
# os_name=iOS
# os_version=18.6.2
# engine_version=4.6-stable (official)
# target_frame_rate=60
# sample_count=499
# duration_s=8.297
# achieved_rate_hz=60.14
# longest_frame_ms=20.5
sample,t_ms,dt_ms,accel_x,accel_y,accel_z,grav_x,grav_y,grav_z,gyro_x,gyro_y,gyro_z
0,0.000,16.667,-0.64988,-5.79636,-7.77637,-0.33013,-6.40464,-7.41903,-0.05021,-0.00430,0.00470
1,14.627,16.667,-0.91294,-5.62907,-7.52528,-0.32193,-6.40535,-7.41877,0.03982,0.09240,-0.07588
2,30.981,16.667,-0.69900,-6.16656,-7.07413,-0.29824,-6.40969,-7.41602,-0.00200,0.16289,-0.12047
3,47.493,16.667,-0.29658,-6.57822,-7.16225,-0.25879,-6.40696,-7.41986,-0.06295,0.16545,-0.11253
4,64.096,16.667,-0.22326,-6.59812,-7.31055,-0.23210,-6.39734,-7.42904,-0.11454,0.12873,-0.10147
5,80.973,16.667,-0.18630,-6.51821,-7.50148,-0.21080,-6.38318,-7.44184,-0.14270,0.06929,-0.09719
6,97.577,16.667,-0.14560,-6.42723,-7.54757,-0.18963,-6.36194,-7.46057,-0.14890,0.03029,-0.10265
7,116.493,16.667,-0.01199,-6.50057,-7.51952,-0.17747,-6.34587,-7.47454,-0.13626,0.00577,-0.09802
8,133.481,16.667,-0.00030,-6.46015,-7.52647,-0.16499,-6.32646,-7.49126,-0.12076,0.00211,-0.08422
9,149.735,16.667,-0.07736,-6.44609,-7.60728,-0.15753,-6.31417,-7.50179,-0.10373,-0.01001,-0.07765
10,164.340,16.667,-0.07377,-6.45327,-7.63032,-0.15287,-6.30317,-7.51113,-0.09486,-0.02640,-0.06000
11,183.856,16.667,-0.12405,-6.49562,-7.59650,-0.15200,-6.28928,-7.52278,-0.08969,-0.03341,-0.02891
12,199.948,16.667,-0.20575,-6.47811,-7.69661,-0.15404,-6.27914,-7.53121,-0.09070,-0.03443,-0.00740
13,216.518,16.667,-0.16924,-6.46853,-7.68928,-0.15825,-6.26868,-7.53983,-0.09082,-0.03717,0.01453
14,233.234,16.667,-0.01152,-6.54171,-7.66908,-0.16703,-6.25449,-7.55141,-0.09796,-0.04607,0.02999
15,250.122,16.667,-0.08844,-6.48140,-7.59127,-0.17625,-6.24289,-7.56079,-0.10328,-0.05104,0.04199
16,266.446,16.667,-0.22476,-6.34015,-7.51480,-0.18515,-6.23109,-7.57031,-0.10891,-0.03576,0.02426
17,283.310,16.667,-0.41973,-6.08202,-7.42666,-0.19207,-6.21407,-7.58411,-0.11957,-0.02675,-0.00404
18,299.619,16.667,-0.60020,-5.88989,-7.47934,-0.19416,-6.20058,-7.59510,-0.11852,-0.03619,-0.02004
19,316.479,16.667,-0.39983,-5.90665,-7.85717,-0.19550,-6.18355,-7.60893,-0.15399,-0.05269,-0.06598
20,333.248,16.667,-0.28461,-6.54051,-7.31593,-0.19488,-6.16474,-7.62420,-0.09861,0.00136,-0.01048
21,349.963,16.667,-0.34791,-6.06242,-7.79806,-0.19420,-6.15196,-7.63453,-0.13388,-0.03021,-0.02387
22,366.709,16.667,-0.15248,-6.33341,-7.77008,-0.19795,-6.13454,-7.64844,-0.16083,-0.06075,-0.00290
23,383.347,16.667,-0.04594,-6.26368,-7.66055,-0.20778,-6.10948,-7.66821,-0.16637,-0.07453,-0.00302
24,400.052,16.667,-0.14739,-6.22463,-7.60728,-0.21669,-6.08945,-7.68388,-0.18196,-0.08279,0.00109
25,416.445,16.667,-0.27623,-6.10162,-7.58124,-0.22563,-6.06630,-7.70192,-0.21630,-0.07384,-0.01081
26,433.228,16.667,-0.41659,-5.95947,-7.60219,-0.23175,-6.03275,-7.72804,-0.21383,-0.04613,-0.03255
27,449.835,16.667,-0.35808,-6.00466,-7.72729,-0.23276,-6.00862,-7.74679,-0.19977,-0.02637,-0.03738
28,466.615,16.667,-0.32935,-6.09848,-7.85538,-0.23321,-5.98696,-7.76352,-0.17696,-0.03318,-0.02751
29,483.428,16.667,-0.17238,-6.12586,-7.99499,-0.23770,-5.96120,-7.78319,-0.15795,-0.05674,-0.01519
30,499.678,16.667,-0.21638,-6.07125,-7.97643,-0.24430,-5.94388,-7.79622,-0.14254,-0.07313,-0.00694
31,516.428,16.667,-0.22835,-6.02276,-7.96311,-0.25255,-5.92791,-7.80811,-0.13434,-0.08383,-0.01298
32,533.210,16.667,-0.34671,-5.86475,-7.87214,-0.26363,-5.90867,-7.82231,-0.11090,-0.07700,-0.02060
33,550.072,16.667,-0.44323,-5.89767,-7.84445,-0.27017,-5.89635,-7.83138,-0.10310,-0.07467,-0.02688
34,564.225,16.667,-0.40088,-5.93104,-7.77053,-0.27591,-5.88401,-7.84045,-0.11082,-0.06196,-0.02504
35,581.760,16.667,-0.34222,-6.04850,-7.80839,-0.28056,-5.87096,-7.85007,-0.11088,-0.04898,-0.01325
36,598.418,16.667,-0.29030,-6.03608,-7.93798,-0.28749,-5.85272,-7.86342,-0.12124,-0.04797,0.00202
37,616.344,16.667,-0.32292,-5.98580,-8.02821,-0.29473,-5.83897,-7.87337,-0.11133,-0.06203,0.01383
38,633.414,16.667,-0.31544,-5.86579,-8.07654,-0.30785,-5.82170,-7.88565,-0.09917,-0.08007,0.01524
